syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl0,syl1,syl2,syl3,syl4,syl5,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,nomen,sylcnt,stress_class
2,3,1,3,4,3,bi,bli,o,gra,phie,ren,en,ø,V,N,SA,ø,C,CL,CLC,CLCC,CLCCL,C,KC,CKC,LCKC,CLCKC,ø,CVV,CCVV,VV,CCVC,CVV,CVC,0,1,0,3,0,2,0,0,0,1,0,1,1,2,0,2,1,1,2,2,2,1,2,1,1,101,111,1,111,101,1011,3,3,4,2,3,3,1,CL,CCL,L,CCK,CL,CKC,C,CC,,CC,C,C,,,,,,C,L,L,L,K,L,K,1,1,1,1,1,0,F,6,paenultima
3,5,2,2,2,3,Bil,dungs,po,li,ti,ker,er,ø,N,NN,SAS,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVCC,CVV,CVV,CVV,CVC,2,3,0,0,0,2,1,2,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,111,1201,101,11,101,111,3,2,2,4,3,2,-1,CKC,CKCC,CL,CL,CL,CKC,C,C,C,C,C,C,C,CC,,,,C,K,K,L,L,L,K,1,2,1,1,1,0,T,6,prima
2,3,2,2,3,4,Bo,den,be,ar,bei,tung,ung,ø,N,NV,ø,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,DCKC,CDCKC,ø,CVV,CVC,CV,VC,CVV,CVC,0,2,1,1,0,2,0,1,0,1,0,1,1,1,1,0,1,1,2,1,1,1,2,1,2,101,1101,101,11,101,1101,2,2,2,3,3,2,1,CL,CKC,CK,KC,CD,CKC,C,C,C,,C,C,,C,,C,,C,L,K,K,K,D,K,1,0,0,1,1,1,T,6,prima
4,2,2,2,2,2,Brau,se,li,mo,na,de,e,ø,N,VN,SAS,ø,C,CC,CCD,CCDC,CCDCK,K,CK,LCK,CLCK,LCLCK,ø,CCVV,CV,CVV,CVV,CVV,CV,1,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,2,1,2,2,2,1,2,111,101,11,1001,1001,101,3,2,4,3,4,2,1,CCD,CK,CL,CL,CL,CK,CC,C,C,C,C,C,,,,,,,D,K,L,L,L,K,1,0,1,1,1,0,T,6,prima
2,2,3,2,3,3,b2,ro,kra,ti,sie,ren,en,ø,V,N,SA,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CCVC,CVV,CVV,CVC,0,0,3,0,0,2,0,0,1,0,0,1,1,1,2,1,1,1,2,2,1,2,2,1,1,101,11,111,101,101,1011,3,3,2,3,3,3,1,CL,CL,CCK,CL,CL,CKC,C,C,CC,C,C,C,,,,,,C,L,L,K,L,L,K,1,1,1,1,1,0,F,6,paenultima
3,3,2,2,3,3,cha,rak,te,ri,sie,ren,en,ø,V,N,SA,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVV,CVV,CVV,CVC,2,2,0,0,0,2,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,101,111,101,11,101,1011,2,2,2,4,3,3,1,CK,CKC,CL,CL,CL,CKC,C,C,C,C,C,C,,C,,,,C,K,K,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
3,2,1,3,3,3,cho,re,o,gra,fie,ren,en,ø,V,V,S,ø,C,CL,CLC,CLCL,CLCLL,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,VV,CCVC,CVV,CVC,0,0,0,3,0,2,0,0,0,1,0,1,1,1,0,2,1,1,2,2,2,1,2,1,1,101,11,1,111,101,1011,2,3,4,2,3,3,1,CL,CL,L,CCK,CL,CKC,C,C,,CC,C,C,,,,,,C,L,L,L,K,L,K,1,1,1,1,1,0,F,6,paenultima
4,3,1,2,3,3,chri,sti,a,ni,sie,ren,en,ø,V,ø,ø,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,LCKC,CLCKC,ø,CCVC,CVV,VC,CVV,CVV,CVC,3,0,1,0,0,2,1,0,1,0,0,1,2,1,0,1,1,1,1,2,1,2,2,1,0,211,101,1,1001,101,1011,2,3,4,3,3,3,1,CCKC,CL,K,CL,CL,CKC,CC,C,,C,C,C,C,,,,,C,K,L,K,L,L,K,1,1,1,1,1,0,F,6,paenultima
4,3,1,2,3,4,Chri,sti,a,ni,sie,rung,ung,ø,N,V,SA,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,LCKC,CLCKC,ø,CCVC,CVV,VC,CVV,CVV,CVC,3,0,1,0,0,2,1,0,1,0,0,1,2,1,0,1,1,1,1,2,1,2,2,1,1,211,101,1,1001,101,1011,2,3,4,3,3,3,1,CCKC,CL,K,CL,CL,CKC,CC,C,,C,C,C,C,,,,,C,K,L,K,L,L,K,1,1,1,1,1,1,T,6,paenultima
3,2,3,2,4,3,com,pu,ter,ge,ste2,ert,ert,ø,A,ø,SS,ø,C,CK,CKC,CKCC,CKCCC,C,CC,KCC,DKCC,CDKCC,ø,CVC,CCVV,CVC,CVC,CVV,VCC,2,1,2,2,0,2,1,0,1,1,0,2,1,2,1,1,1,0,1,2,1,1,2,1,2,1101,102,111,201,101,111,2,3,2,2,3,2,-1,CKC,CCL,CKC,CKC,CD,KCC,C,CC,C,C,C,,C,,C,C,,CC,K,L,K,K,D,K,1,1,0,0,1,0,F,6,sekunda
3,2,3,1,3,3,com,pu,ter,i,sie,ren,en,ø,V,N,SA,ø,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CCVV,CV,CVV,CVV,CVC,2,1,1,0,0,2,1,0,0,0,0,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1101,102,101,11,101,1011,2,3,2,4,3,3,-1,CKC,CCL,CK,CL,CL,CKC,C,CC,C,C,C,C,C,,,,,C,K,L,K,L,L,K,1,1,0,1,1,0,F,6,paenultima
2,3,1,3,3,4,Da,ten,2,ber,tra,gung,ung,ø,N,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,VV,CVC,CCVV,CVC,0,2,0,2,1,2,0,1,0,1,0,1,1,1,0,1,2,1,2,1,2,1,2,1,2,101,1101,1,111,111,1101,3,2,5,2,3,2,1,CL,CKC,L,CKC,CCL,CKC,C,C,,C,CC,C,,C,,C,,C,L,K,L,K,L,K,1,0,1,0,1,1,T,6,prima
2,3,3,2,3,4,Da,ten,ver,ar,bei,tung,ung,ø,N,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,DCKC,CDCKC,ø,CVV,CVC,CVC,VC,CVV,CVC,0,2,2,1,0,2,0,1,1,1,0,1,1,1,1,0,1,1,2,1,1,1,2,1,2,101,1101,111,11,101,1101,3,2,2,3,3,2,1,CL,CKC,CKC,KC,CD,CKC,C,C,C,,C,C,,C,C,C,,C,L,K,K,K,D,K,1,0,1,1,1,1,T,6,prima
2,2,2,2,2,2,De,ge,ne,ra,ti,on,on,ø,N,R,SA,ø,C,CL,CLC,CLCL,CLCLC,C,LC,LLC,ALLC,KALLC,ø,CVV,CVV,CVV,CVC,CVV,VVC,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,1,0,2,2,2,1,2,2,1,101,101,1001,11,101,1001,2,2,3,3,3,3,1,CL,CL,CL,CK,AL,LC,C,C,C,C,A,,,,,,,C,L,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,3,2,2,2,2,De,kom,po,si,ti,on,on,ø,N,N,AS,ø,C,CL,CLC,CLCK,CLCKC,C,LC,LLC,ALLC,LALLC,ø,CVV,CVC,CVV,CVV,CVV,VVC,0,2,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,2,1,2,2,2,2,1,101,1101,101,101,101,1001,2,2,2,3,3,3,1,CL,CKC,CL,CL,AL,LC,C,C,C,C,A,,,C,,,,C,L,K,L,L,L,L,1,1,1,1,1,1,T,6,ultima
2,3,2,1,3,3,de,mis,si,o,nie,ren,en,ø,V,V,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,VV,CVV,CVC,0,2,0,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2,1,2,2,2,1,1,101,1001,101,1,1001,1011,2,3,3,4,3,3,1,CL,CK,CL,L,CL,CKC,C,C,C,,C,C,,,,,,C,L,K,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,2,2,2,3,3,de,mo,bi,li,sie,ren,en,ø,V,V,AS,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CVV,CVV,CVV,CVC,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,1,1,101,1001,101,11,101,1011,2,3,3,4,3,3,1,CL,CL,CL,CL,CL,CKC,C,C,C,C,C,C,,,,,,C,L,L,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,2,3,2,3,3,de,mo,kra,ti,sie,ren,en,ø,V,N,SA,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CCVC,CVV,CVV,CVC,0,0,3,0,0,2,0,0,1,0,0,1,1,1,2,1,1,1,2,2,1,2,2,1,1,101,1001,111,101,101,1011,2,3,2,3,3,3,1,CL,CL,CCK,CL,CL,CKC,C,C,CC,C,C,C,,,,,,C,L,L,K,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,2,2,2,3,3,de,mo,ra,li,sie,ren,en,ø,V,V,AS,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CVC,CVV,CVV,CVC,0,0,2,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,2,2,1,2,2,1,1,101,1001,11,11,101,1011,2,3,3,4,3,3,1,CL,CL,CK,CL,CL,CKC,C,C,C,C,C,C,,,,,,C,L,L,K,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,2,2,2,3,4,De,mo,ra,li,sie,rung,ung,ø,N,V,SA,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CVC,CVV,CVV,CVC,0,0,2,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,2,2,1,2,2,1,1,101,1001,11,11,101,1011,2,3,3,4,3,3,1,CL,CL,CK,CL,CL,CKC,C,C,C,C,C,C,,,,,,C,L,L,K,L,L,K,1,1,1,1,1,1,T,6,paenultima
2,2,2,2,3,3,de,na,zi,fi,zie,ren,en,ø,V,ø,ø,ø,C,CL,CLC,CLCK,CLCKA,C,KC,CKC,LCKC,ALCKC,ø,CVV,CVC,CVV,CVV,CVV,CVC,0,2,0,0,0,2,0,1,0,0,0,1,1,1,1,1,1,1,2,1,2,2,2,1,0,101,1001,101,101,101,1011,2,3,3,3,3,3,1,CL,CK,AL,CL,AL,CKC,C,C,A,C,A,C,,,,,,C,L,K,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,3,2,1,2,2,De,nun,zi,a,ti,on,on,ø,N,R,SA,ø,C,CL,CLC,CLCK,CLCKC,C,LC,LLC,ALLC,KALLC,ø,CVV,CVC,CVV,VC,CVV,VVC,0,2,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,2,1,2,1,2,2,1,101,2001,101,1,101,1001,2,3,3,4,3,3,-1,CL,CKC,AL,K,AL,LC,C,C,A,,A,,,C,,,,C,L,K,L,K,L,L,1,1,1,1,1,1,T,6,ultima
3,2,2,3,2,2,Des,in,te,gra,ti,on,on,ø,N,N,AS,ø,C,CK,CKC,CKCK,CKCKC,C,LC,LLC,ALLC,KALLC,ø,CVC,VC,CV,CCVC,CVV,VVC,2,1,1,3,0,0,1,1,0,1,0,1,1,0,1,2,1,0,1,1,1,1,2,2,1,201,1001,101,111,101,1001,2,3,2,2,3,3,1,CKC,KC,CK,CCK,AL,LC,C,,C,CC,A,,C,C,,,,C,K,K,K,K,L,L,1,1,0,1,1,1,T,6,ultima
3,1,2,2,2,2,Des,o,xy,da,ti,on,on,ø,N,R,SA,ø,C,CK,CKC,CKCK,CKCKC,C,LC,LLC,ALLC,KALLC,ø,CVC,VC,CCVV,CVC,CVV,VVC,2,1,1,2,0,0,1,1,0,1,0,1,1,0,2,1,1,0,1,1,2,1,2,2,1,201,1,201,101,101,1001,2,4,2,2,3,3,1,CKC,K,CCL,CK,AL,LC,C,,CC,C,A,,C,,,,,C,K,K,L,K,L,L,1,1,1,1,1,1,T,6,ultima
3,3,2,2,3,3,des,sen,un,ge,ach,tet,et,ø,ADV,ø,SS,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,VC,CV,VC,CVC,2,2,1,1,1,2,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,101,1101,1001,101,101,201,2,2,3,2,2,2,-1,CK,CKC,KC,CK,KC,CKC,C,C,,C,,C,,C,C,,C,C,K,K,K,K,K,K,1,0,1,0,1,0,F,6,multa
2,3,2,2,2,2,De,ter,mi,na,ti,on,on,ø,N,R,SA,ø,C,CL,CLC,CLCK,CLCKC,C,LC,LLC,ALLC,KALLC,ø,CVV,CVC,CVV,CVC,CVV,VVC,0,2,0,2,0,0,0,1,0,1,0,1,1,1,1,1,1,0,2,1,2,1,2,2,1,101,111,1001,1001,101,1001,2,2,3,3,3,3,1,CL,CKC,CL,CK,AL,LC,C,C,C,C,A,,,C,,,,C,L,K,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,3,3,2,3,3,de,zen,tra,li,sie,ren,en,ø,V,V,AS,ø,C,CL,CLA,CLAK,CLAKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CCVV,CVV,CVV,CVC,0,2,1,0,0,2,0,1,0,0,0,1,1,1,2,1,1,1,2,1,2,2,2,1,1,101,1101,111,11,101,1011,2,2,3,4,3,3,1,CL,AKC,CCL,CL,CL,CKC,C,A,CC,C,C,C,,C,,,,C,L,K,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,3,3,2,3,4,De,zen,tra,li,sie,rung,ung,ø,N,V,SA,ø,C,CL,CLA,CLAK,CLAKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CCVV,CVV,CVV,CVC,0,2,1,0,0,2,0,1,0,0,0,1,1,1,2,1,1,1,2,1,2,2,2,1,1,101,1101,111,11,101,1011,2,2,3,4,3,3,1,CL,AKC,CCL,CL,CL,CKC,C,A,CC,C,C,C,,C,,,,C,L,K,L,L,L,K,1,1,1,1,1,1,T,6,paenultima
2,1,3,3,3,3,di,a,gno,sti,zie,ren,en,ø,V,V,S,ø,C,CL,CLK,CLKC,CLKCC,C,KC,CKC,LCKC,ALCKC,ø,CVV,VC,CCVC,CVV,CVV,CVC,0,1,3,0,0,2,0,1,1,0,0,1,1,0,2,1,1,1,2,1,1,2,2,1,1,101,1,1201,101,101,1011,3,4,2,3,3,3,1,CL,K,CCKC,CL,AL,CKC,C,,CC,C,A,C,,,C,,,C,L,K,K,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,2,2,2,3,3,di,gi,ta,li,sie,ren,en,ø,V,A,SA,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CVV,CVV,CVV,CVC,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,1,1,101,101,101,11,101,1011,3,3,3,4,3,3,1,CL,CL,CL,CL,CL,CKC,C,C,C,C,C,C,,,,,,C,L,L,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,3,2,1,3,3,di,men,si,o,nie,ren,en,ø,V,N,SA,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,VV,CVV,CVC,0,2,0,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2,1,2,2,2,1,1,101,2001,101,1,1001,1011,3,2,3,4,3,3,1,CL,CKC,CL,L,CL,CKC,C,C,C,,C,C,,C,,,,C,L,K,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,3,2,1,3,4,Di,men,si,o,nie,rung,ung,ø,N,V,SA,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,VV,CVV,CVC,0,2,0,0,0,2,0,1,0,0,0,1,1,1,1,0,1,1,2,1,2,2,2,1,1,101,2001,101,1,1001,1011,3,2,3,4,3,3,1,CL,CKC,CL,L,CL,CKC,C,C,C,,C,C,,C,,,,C,L,K,L,L,L,K,1,1,1,1,1,1,T,6,paenultima
3,3,2,2,3,4,dis,kon,ti,nu,ier,lich,ich,ø,A,A,AS,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,LCCKC,noacc,CVC,CVC,CVV,CVV,VVC,CVC,2,2,0,0,0,2,1,1,0,0,1,1,1,1,1,1,0,1,1,1,2,2,2,1,1,201,1101,101,1001,11,111,2,2,3,3,4,3,-1,CKC,CKC,CL,CL,LC,CKC,C,C,C,C,,C,C,C,,,C,C,K,K,L,L,L,K,1,1,1,1,1,1,F,6,paenultima
3,3,2,2,1,3,Dis,kon,ti,nu,i,t1t,1t,ø,N,N,AS,ø,C,CK,CKC,CKCC,CKCCK,C,LC,CLC,LCLC,LLCLC,ø,CVC,CVC,CVV,CVV,VV,CVVC,2,2,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,2,2,2,2,1,201,1101,101,1001,1,201,2,2,3,3,5,2,-1,CKC,CKC,CL,CL,L,CLC,C,C,C,C,,C,C,C,,,,C,K,K,L,L,L,L,1,1,1,1,1,1,T,6,ultima
3,3,2,2,2,2,Dis,kri,mi,na,ti,on,on,ø,N,R,SA,ø,C,CK,CKC,CKCC,CKCCC,C,LC,LLC,ALLC,KALLC,ø,CVC,CCVV,CVV,CVC,CVV,VVC,2,1,0,2,0,0,1,0,0,1,0,1,1,2,1,1,1,0,1,2,2,1,2,2,1,201,111,1001,1001,101,1001,2,3,3,3,3,3,1,CKC,CCL,CL,CK,AL,LC,C,CC,C,C,A,,C,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
3,3,2,3,3,3,Dis,kus,si,ons,red,ner,er,ø,N,NV,ø,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,LCCKC,ø,CVC,CVC,CVV,VVCC,CVV,CCVC,2,2,0,1,0,3,1,1,0,2,0,1,1,1,1,0,1,2,1,1,2,2,2,1,2,201,101,101,1101,11,1111,2,3,3,2,3,2,1,CKC,CK,CL,LCC,CL,CCKC,C,C,C,,C,CC,C,,,CC,,C,K,K,L,L,L,K,1,1,1,2,1,0,T,6,antepaenultima
3,3,3,2,1,3,dis,pro,por,ti,o,nal,al,ø,A,N,SA,ø,C,CK,CKC,CKCC,CKCCC,C,LC,CLC,LCLC,LLCLC,ø,CVC,CCVV,CVC,CVV,VV,CVVC,2,1,2,0,0,1,1,0,1,0,0,1,1,2,1,1,0,1,1,2,1,2,2,2,1,201,111,111,101,1,1011,2,2,2,3,4,3,1,CKC,CCL,CKC,AL,L,CLC,C,CC,C,A,,C,C,,C,,,C,K,L,K,L,L,L,1,1,1,1,1,1,F,6,ultima
3,3,2,2,3,3,dis,qua,li,fi,zie,ren,en,ø,V,V,AS,ø,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,LCKC,ALCKC,ø,CVC,CCVC,CVV,CVV,CVV,CVC,2,3,0,0,0,2,1,1,0,0,0,1,1,2,1,1,1,1,1,1,2,2,2,1,1,201,201,11,101,101,1011,2,2,4,3,3,3,1,CKC,CCK,CL,CL,AL,CKC,C,CC,C,C,A,C,C,,,,,C,K,K,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
3,2,2,2,2,2,Dis,si,mi,la,ti,on,on,ø,N,R,SA,ø,C,CK,CKC,CKCL,CKCLC,C,LC,LLC,ALLC,KALLC,ø,CVC,VV,CVV,CVC,CVV,VVC,2,0,0,2,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,2,2,1,2,2,1,201,1,1001,11,101,1001,2,5,3,3,3,3,1,CKC,L,CL,CK,AL,LC,C,,C,C,A,,C,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
3,2,2,2,2,2,Dis,si,mu,la,ti,on,on,ø,N,R,SA,ø,C,CK,CKC,CKCL,CKCLC,C,LC,LLC,ALLC,KALLC,ø,CVC,VV,CVV,CVC,CVV,VVC,2,0,0,2,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,2,2,1,2,2,1,201,1,1001,11,101,1001,2,5,3,3,3,3,1,CKC,L,CL,CK,AL,LC,C,,C,C,A,,C,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,3,2,2,3,3,di,ver,si,fi,zie,ren,en,ø,V,R,SA,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,ALCKC,ø,CVV,CVC,CVV,CVV,CVV,CVC,0,2,0,0,0,2,0,1,0,0,0,1,1,1,1,1,1,1,2,1,2,2,2,1,1,101,111,101,101,101,1011,3,2,3,3,3,3,1,CL,CKC,CL,CL,AL,CKC,C,C,C,C,A,C,,C,,,,C,L,K,L,L,L,K,1,1,1,1,1,0,F,6,paenultima
2,2,3,2,2,2,Do,ku,men,ta,ti,on,on,ø,N,N,SA,ø,C,CL,CLC,CLCL,CLCLC,C,LC,LLC,ALLC,KALLC,ø,CVV,CVV,CVC,CVC,CVV,VVC,0,0,2,2,0,0,0,0,1,1,0,1,1,1,1,1,1,0,2,2,1,1,2,2,1,101,101,2001,101,101,1001,2,3,2,2,3,3,1,CL,CL,CKC,CK,AL,LC,C,C,C,C,A,,,,C,,,C,L,L,K,K,L,L,1,1,1,1,1,1,T,6,ultima
5,2,2,2,3,3,durch,or,ga,ni,sie,ren,en,durch,V,PV,SS,acc,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVCC,VC,CVC,CVV,CVV,CVC,3,1,2,0,0,2,2,1,1,0,0,1,1,0,1,1,1,1,1,1,1,2,2,1,2,211,11,101,1001,101,1011,2,3,2,3,3,3,1,CKCC,KC,CK,CL,CL,CKC,C,,C,C,C,C,CC,C,,,,C,K,K,K,L,L,K,2,1,1,1,1,0,F,6,prima
5,8,2,6,3,4,Durch,schnitts,ge,schwin,dig,keit,eit,ø,N,NN,SAS,ø,C,CK,CKC,CKCC,CKCCC,C,DC,CDC,CCDC,KCCDC,ø,CVCC,CCVC,CV,CCVC,CVC,CVVC,3,3,1,3,2,1,2,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,211,1201,101,1201,201,201,2,2,2,2,2,2,-1,CKCC,CCKA,CK,CCKC,CKC,CDC,C,CC,C,CC,C,C,CC,A,,C,C,C,K,K,K,K,K,D,2,1,0,1,1,1,T,6,prima
5,3,5,3,2,3,Durch,set,zungs,ver,m3,gen,en,durch,N,NN,SAS,acc,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,LCKC,CLCKC,ø,CVCC,CVC,CVCC,CVC,CVV,CVC,3,2,3,2,0,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,211,101,1201,111,1001,1101,2,2,2,2,3,2,1,CKCC,CK,AKCC,CKC,CL,CKC,C,C,A,C,C,C,CC,,CC,C,,C,K,K,K,K,L,K,2,1,2,1,1,0,T,6,prima
1,3,2,3,2,1,E,del,ka,sta,ni,e,e,ø,N,AN,SS,ø,L,LC,LCK,LCKC,LCKCC,K,LK,CLK,LCLK,CLCLK,ø,VV,CVC,CVC,CVV,CVV,V,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,2,1,1,2,2,1,2,1,111,201,101,1001,1,4,2,2,3,3,4,1,L,CKC,CKC,CL,CL,K,,C,C,C,C,,,C,C,,,,L,K,K,L,L,K,1,0,1,1,1,0,T,6,prima
2,3,2,2,3,2,Ei,gen,in,te,res,se,e,ø,N,AN,SS,ø,D,DC,DCK,DCKC,DCKCK,K,CK,KCK,CKCK,KCKCK,ø,VV,CVC,VC,CV,CVC,CV,0,2,1,1,2,1,0,1,1,0,1,0,0,1,0,1,1,1,2,1,1,1,1,1,2,1,1101,1001,101,11,101,6,2,3,2,3,2,-1,D,CKC,KC,CK,CK,CK,,C,,C,C,C,,C,C,,,,D,K,K,K,K,K,1,0,1,0,1,0,T,6,prima
2,3,3,3,4,4,ei,gen,ver,ant,wort,lich,ich,ø,A,ø,SS,ø,D,DC,DCK,DCKC,DCKCC,C,KC,CKC,CCKC,CCCKC,noacc,VV,CVC,CVC,VCC,CVCC,CVC,0,2,2,2,3,2,0,1,1,2,2,1,0,1,1,0,1,1,2,1,1,1,1,1,2,1,1101,111,1101,211,111,6,2,2,2,2,3,-1,D,CKC,CKC,KCC,CKCC,CKC,,C,C,,C,C,,C,C,CC,CC,C,D,K,K,K,K,K,1,0,1,2,2,1,F,6,prima
3,2,3,2,1,3,ein,di,men,si,o,nal,al,ein,A,ø,SS,acc,D,DC,DCC,DCCL,DCCLC,C,LC,CLC,LCLC,LLCLC,ø,VVC,CVV,CVC,CVV,VV,CVVC,0,0,2,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,2,2,1,2,2,2,2,1001,101,2001,101,1,1011,4,3,2,3,4,3,-1,DC,CL,CKC,CL,L,CLC,,C,C,C,,C,C,,C,,,C,D,L,K,L,L,L,1,1,1,1,1,1,F,6,prima
3,6,2,5,3,4,Ein,sch2ch,te,rungs,ver,such,uch,ein,N,NN,SAS,acc,D,DC,DCC,DCCK,DCCKC,C,LC,CLC,CCLC,KCCLC,ø,VVC,CVC,CV,CVCC,CVC,CVVC,0,2,1,3,2,1,1,1,0,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,2,1001,201,101,1111,111,201,4,2,2,2,2,2,-1,DC,CKC,CK,CKCC,CKC,CLC,,C,C,C,C,C,C,C,,CC,C,C,D,K,K,K,K,L,1,1,0,2,1,1,T,6,prima
