syl_len0,syl_len1,syl_len2,syl_len3,syl0,syl1,syl2,syl3,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,comp_len,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,onset_class0,onset_class1,onset_class2,onset_class3,koda_class0,koda_class1,koda_class2,koda_class3,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,syl_weight0,syl_weight1,syl_weight2,syl_weight3,nomen,sylcnt,stress_class
2,3,2,3,Ku,gel,la,ger,er,ø,N,NN,SS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,CVC,0,2,0,2,0,1,0,1,1,1,1,1,2,1,2,1,2,101,111,11,111,3,2,4,2,-1,CL,CKC,CL,CKC,C,C,C,C,?,C,?,C,L,K,L,K,1,0,1,0,T,4,prima
3,3,2,3,Kon,ser,va,tor,or,ø,N,R,SA,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVV,CVC,2,2,0,2,1,1,0,1,1,1,1,1,1,1,2,1,1,1101,111,101,111,2,2,3,2,-1,CKC,CKC,CL,CKC,C,C,C,C,C,C,?,C,K,K,L,K,1,1,1,1,T,4,paenultima
4,2,2,2,Orts,an,ga,be,e,ø,N,NN,SAS,ø,K,KC,KCA,KCAK,KCAKC,K,CK,LCK,CLCK,CCLCK,ø,VCC,VC,CVV,CV,2,1,0,1,2,1,0,0,0,0,1,1,1,1,2,1,2,111,1001,101,101,2,3,3,2,-1,KCA,KC,CL,CK,?,?,C,C,CA,C,?,?,K,K,L,K,2,1,1,0,T,4,prima
4,2,3,3,Ther,mo,che,mie,ie,ø,N,N,AS,ø,C,CK,CKC,CKCC,CKCCL,L,CL,LCL,CLCL,LCLCL,ø,CVC,CVV,CVV,CVV,2,0,0,0,1,0,0,0,1,1,1,1,1,2,2,2,1,111,1001,101,1001,2,3,2,3,1,CKC,CL,CL,CL,C,C,C,C,C,?,?,?,K,L,L,L,1,1,1,1,T,4,ultima
3,2,3,3,Wan,da,lis,mus,us,ø,N,ø,ø,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,CVC,CVC,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1101,101,111,1101,2,2,3,2,1,CKC,CK,CKC,CKC,C,C,C,C,C,?,C,C,K,K,K,K,1,1,1,1,T,4,paenultima
3,3,2,3,Kom,pen,sa,tor,or,ø,N,R,SA,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVV,CVC,2,2,0,2,1,1,0,1,1,1,1,1,1,1,2,1,1,1101,1101,101,111,2,2,3,2,-1,CKC,CKC,CL,CKC,C,C,C,C,C,C,?,C,K,K,L,K,1,1,1,1,T,4,paenultima
2,2,3,5,Po,li,zei,staat,aat,ø,N,NN,SS,ø,C,CL,CLC,CLCL,CLCLA,C,LC,CLC,CCLC,DCCLC,ø,CVV,CVV,CVV,CCVVC,0,0,0,1,0,0,0,1,1,1,1,2,2,2,2,2,2,101,11,101,301,2,4,3,2,1,CL,CL,AD,CCLC,C,C,A,CC,?,?,?,C,L,L,D,L,1,1,1,1,T,4,paenultima
1,3,3,4,8,ber,bie,tung,ung,ueber,N,V,SA,acc,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,LCKC,CLCKC,ø,VV,CVC,CVV,CVC,0,2,0,2,0,1,0,1,0,1,1,1,2,1,2,1,1,1,111,101,1101,5,2,3,2,1,L,CKC,CL,CKC,?,C,C,C,?,C,?,C,L,K,L,K,1,0,1,1,T,4,paenultima
3,3,2,3,ver,hei,ra,ten,en,ver,V,V,AS,noacc,C,CK,CKC,CKCC,CKCCD,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVV,CVC,2,0,0,2,1,0,0,1,1,1,1,1,1,2,2,1,1,111,101,11,1101,2,3,4,2,1,CKC,CD,CL,CKC,C,C,C,C,C,?,?,C,K,D,L,K,1,1,1,0,F,4,antepaenultima
1,3,2,3,A,rau,ka,ner,er,ø,N,ø,ø,ø,K,KC,KCD,KCDC,KCDCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVC,1,0,0,2,1,0,0,1,0,1,1,1,1,2,2,1,0,1,11,101,1011,4,4,3,3,1,K,CD,CL,CKC,?,C,C,C,?,?,?,C,K,D,L,K,1,1,1,0,T,4,paenultima
3,2,5,3,ver,ab,schie,den,en,ver,V,N,AS,noacc,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,LCKC,CLCKC,ø,CVC,VC,CVV,CVC,2,1,0,2,1,1,0,1,1,0,1,1,1,1,2,1,1,111,101,101,1101,2,2,3,2,1,CKC,KC,CL,CKC,C,?,C,C,C,C,?,C,K,K,L,K,1,1,1,0,F,4,antepaenultima
3,3,3,3,pur,pur,far,ben,en,ø,A,NN,SSA,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,CVC,CVC,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,111,111,111,1101,3,3,2,2,1,CKC,CKC,CKC,CKC,C,C,C,C,C,C,C,C,K,K,K,K,1,1,1,0,F,4,prima
6,3,4,4,Schutz,vor,rich,tung,ung,ø,N,NN,SS,ø,C,CK,CKA,CKAC,CKACL,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVVC,CVC,CVC,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,201,111,111,1101,2,2,3,2,1,CKA,CLC,CKC,CKC,C,C,C,C,A,C,C,C,K,L,K,K,1,1,1,1,T,4,prima
2,3,3,7,Ja,lou,sie,schrank,ank,ø,N,NN,SS,ø,C,CK,CKC,CKCL,CKCLC,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVV,CVV,CCVCC,2,0,0,4,1,0,0,2,1,1,1,2,1,2,2,1,2,101,11,101,1211,2,4,3,2,1,CK,CL,CL,CCKCC,C,C,C,CC,?,?,?,CC,K,L,L,K,1,1,1,2,T,4,paenultima
3,4,6,3,Tro,cken,schleu,der,er,ø,N,AN,SS,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,DCKC,CDCKC,ø,CCVC,CVC,CCVV,CVC,3,2,1,2,1,1,0,1,2,1,2,1,1,1,2,1,2,111,1101,111,111,2,2,3,2,-1,CCK,CKC,CCD,CKC,CC,C,CC,C,?,C,?,C,K,K,D,K,1,0,1,0,T,4,prima
3,3,3,5,g2n,sti,gen,falls,alls,ø,ADV,AN,ø,ø,C,CK,CKC,CKCC,CKCCC,C,CC,KCC,CKCC,CCKCC,ø,CVC,CCVV,CVC,CVCC,2,1,2,3,1,0,1,2,1,2,1,1,1,2,1,1,2,1101,201,1101,211,2,2,2,2,-1,CKC,CCL,CKC,CKCC,C,CC,C,C,C,?,C,CC,K,L,K,K,1,1,0,2,F,4,prima
2,2,3,2,Au,to,kar,te,e,ø,N,NN,SS,ø,D,DC,DCL,DCLC,DCLCK,K,CK,CCK,KCCK,CKCCK,ø,VV,CVV,CVC,CV,0,0,2,1,0,0,1,0,0,1,1,1,2,2,1,1,2,1,101,111,101,6,2,2,2,1,D,CL,CKC,CK,?,C,C,C,?,?,C,?,D,L,K,K,1,1,1,0,T,4,prima
6,2,4,4,Selbst,be,wu$t,sein,ein,ø,N,AN,SS,ø,C,CK,CKC,CKCC,CKCCC,C,DC,CDC,CCDC,CCCDC,ø,CVCCCC,CV,CVCC,CVVC,5,1,3,1,4,0,2,1,1,1,1,1,1,1,1,2,2,411,101,301,1101,1,2,2,3,1,CKCCCC,CK,CKCC,CDC,C,C,C,C,CCCC,?,CC,C,K,K,K,D,2,0,2,1,T,4,prima
2,2,3,2,Mo,to,ren,3l,3l,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLC,C,LC,CLC,KCLC,CKCLC,ø,CVV,CVV,CVC,VVC,0,0,2,0,0,0,1,1,1,1,1,0,2,2,1,2,2,1001,101,1011,11,3,2,3,3,-1,CL,CL,CKC,LC,C,C,C,?,?,?,C,C,L,L,K,L,1,1,0,1,T,4,antepaenultima
1,2,1,2,A,ri,o,so,o,ø,N,ø,S,ø,K,KC,KCL,KCLL,KCLLC,L,CL,LCL,LLCL,CLLCL,ø,VC,CVV,VV,CVV,1,0,0,0,1,0,0,0,0,1,0,1,1,2,2,2,1,1,11,1,101,4,4,4,2,1,K,CL,L,CL,?,C,?,C,?,?,?,?,K,L,L,L,1,1,1,1,T,4,paenultima
4,2,2,4,St1r,ke,zu,cker,er,ø,N,VN,SAS,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,KCKC,AKCKC,ø,CCVC,CV,CVC,CVC,3,1,2,2,1,0,1,1,2,1,1,1,1,1,1,1,2,211,101,101,111,2,2,3,2,-1,CCKC,CK,AK,CKC,CC,C,A,C,C,?,?,C,K,K,K,K,1,0,1,0,T,4,prima
1,4,3,4,7,ster,rei,cher,er,ø,N,ø,ø,ø,L,LC,LCC,LCCK,LCCKC,C,KC,CKC,DCKC,CDCKC,ø,VVC,CV,CVV,CVC,0,1,0,2,1,0,0,1,0,1,1,1,2,1,2,1,0,101,101,11,111,2,2,4,2,-1,LC,CK,CD,CKC,?,C,C,C,C,?,?,C,L,K,D,K,1,0,1,0,T,4,prima
3,3,2,2,Kie,sel,al,ge,e,ø,N,NN,SS,ø,C,CL,CLC,CLCK,CLCKC,K,CK,CCK,KCCK,CKCCK,ø,CVV,CVC,VC,CV,0,2,1,1,0,1,1,0,1,1,0,1,2,1,1,1,2,101,111,11,101,3,2,3,2,-1,CL,CKC,KC,CK,C,C,?,C,?,C,C,?,L,K,K,K,1,0,1,0,T,4,prima
5,2,2,3,hemds,1r,me,lig,ig,ø,A,N,SA,ø,C,CK,CKC,CKCA,CKCAK,C,KC,CKC,KCKC,CKCKC,noacc,CVCC,VC,CV,CVC,3,1,1,2,2,1,0,1,1,0,1,1,1,1,1,1,1,1201,11,1001,111,2,3,3,3,-1,CKCA,KC,CK,CKC,C,?,C,C,CA,C,?,C,K,K,K,K,2,1,0,1,F,4,prima
3,3,2,3,men,gen,m1,$ig,ig,ø,A,NA,SAS,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,LCKC,CLCKC,noacc,CVC,CVC,CVV,CVC,2,2,0,2,1,1,0,1,1,1,1,1,1,1,2,1,2,1001,2001,1001,201,3,2,3,2,-1,CK,CKC,CL,CKC,C,C,C,C,?,C,?,C,K,K,L,K,1,0,1,1,F,4,prima
2,2,3,4,un,er,l1$,lich,ich,ø,A,A,AS,ø,K,KC,KCK,KCKC,KCKCC,C,KC,CKC,CCKC,KCCKC,noacc,VC,VC,CVC,CVC,1,1,2,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1001,11,111,111,3,3,2,3,-1,KC,KC,CKC,CKC,?,?,C,C,C,C,C,C,K,K,K,K,1,1,1,1,F,4,paenultima
3,3,2,5,auf,kl1,re,risch,isch,auf,A,V,SA,acc,D,DC,DCC,DCCC,DCCCL,C,KC,CKC,KCKC,CKCKC,ø,VVC,CCVV,CV,CVC,0,1,1,2,1,0,0,1,0,2,1,1,2,2,1,1,1,101,111,11,111,3,2,3,3,-1,DC,CCL,CK,CKC,?,CC,C,C,C,?,?,C,D,L,K,K,1,1,0,1,F,4,prima
2,2,2,3,Ur,he,be,rin,in,ø,N,N,SA,ø,L,LC,LCC,LCCL,LCCLC,C,KC,CKC,KCKC,CKCKC,ø,VVC,CVV,CV,CVC,0,0,1,2,1,0,0,1,0,1,1,1,2,2,1,1,1,11,101,101,1011,4,2,2,3,1,LC,CL,CK,CKC,?,C,C,C,C,?,?,C,L,L,K,K,1,1,0,1,T,4,prima
4,2,3,3,Prag,ma,tis,mus,us,ø,N,R,SA,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,KCCKC,noacc,CCVC,CCVC,CVC,CVC,3,3,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,111,1101,201,1101,2,2,2,2,1,CCK,CCK,CKC,CKC,CC,CC,C,C,?,?,C,C,K,K,K,K,1,1,1,1,T,4,paenultima
2,2,3,3,ir,re,lei,ten,en,ø,V,ø,SS,ø,K,KC,KCK,KCKC,KCKCD,C,KC,CKC,DCKC,CDCKC,ø,VC,CV,CVV,CVC,1,1,0,2,1,0,0,1,0,1,1,1,1,1,2,1,2,1,11,11,1101,5,3,4,2,1,K,CK,CD,CKC,?,C,C,C,?,?,?,C,K,K,D,K,1,0,1,0,F,4,prima
2,3,2,3,Am,phi,bo,lie,ie,ø,N,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,L,CL,LCL,CLCL,LCLCL,ø,VC,CVV,CVV,CVV,1,0,0,0,1,0,0,0,0,1,1,1,1,2,2,2,0,1001,101,101,11,3,3,2,4,-1,KC,CL,CL,CL,?,C,C,C,C,?,?,?,K,L,L,L,1,1,1,1,T,4,ultima
4,2,4,4,Ziel,si,cher,heit,eit,ø,N,A,SA,ø,A,AL,ALC,ALCC,ALCCK,C,DC,CDC,CCDC,KCCDC,ø,CVVC,CVC,CVC,CVVC,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,111,101,111,201,3,3,2,2,1,ALC,CK,CKC,CDC,A,C,C,C,C,?,C,C,L,K,K,D,1,1,0,1,T,4,prima
2,3,2,3,We,ber,vo,gel,el,ø,N,NN,SS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,CVC,0,2,0,2,0,1,0,1,1,1,1,1,2,1,2,1,2,101,111,101,111,2,2,2,2,1,CL,CKC,CL,CKC,C,C,C,C,?,C,?,C,L,K,L,K,1,0,1,0,T,4,prima
2,2,2,5,pu,ri,ta,nisch,isch,ø,A,R,SA,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CVV,CVC,0,0,0,2,0,0,0,1,1,1,1,1,2,2,2,1,1,101,11,101,1101,3,4,3,2,1,CL,CL,CL,CKC,C,C,C,C,?,?,?,C,L,L,L,K,1,1,1,1,F,4,paenultima
3,2,5,4,Wei,ge,rungs,fall,all,ø,N,NN,SAS,ø,C,CD,CDC,CDCK,CDCKC,C,KC,CKC,CCKC,CCCKC,ø,CVV,CV,CVCC,CVC,0,1,3,2,0,0,2,1,1,1,1,1,2,1,1,1,2,101,101,1111,111,3,2,2,2,1,CD,CK,CKCC,CKC,C,C,C,C,?,?,CC,C,D,K,K,K,1,0,2,1,T,4,prima
2,5,4,2,Ar,beits,st1t,te,e,ø,N,NN,SAS,ø,K,KC,KCC,KCCD,KCCDA,K,CK,KCK,CKCK,CCKCK,ø,VC,CVVC,CCVC,CV,1,1,3,1,1,1,1,0,0,1,2,1,1,2,1,1,2,11,201,201,101,3,2,2,2,1,KC,CDA,CCK,CK,?,C,CC,C,C,A,?,?,K,D,K,K,1,1,1,0,T,4,prima
2,3,2,3,Ag,glo,me,rat,at,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,CLC,LCLC,CLCLC,ø,VC,CCVV,CVV,CVVC,1,1,0,1,1,0,0,1,0,2,1,1,1,2,2,2,1,1,111,1001,111,4,2,3,3,1,K,CCL,CL,CLC,?,CC,C,C,?,?,?,C,K,L,L,L,1,1,1,1,T,4,ultima
3,2,3,6,Hei,li,gen,schein,ein,ø,N,NN,SAS,ø,C,CD,CDC,CDCK,CDCKC,C,DC,CDC,CCDC,KCCDC,ø,CVV,CVC,CVC,CVVC,0,2,2,1,0,1,1,1,1,1,1,1,2,1,1,2,2,101,11,1101,1101,3,4,2,3,1,CD,CK,CKC,CDC,C,C,C,C,?,?,C,C,D,K,K,D,1,1,0,1,T,4,prima
1,3,5,4,8,ber,zeich,nung,ung,ueber,N,V,SA,acc,L,LC,LCK,LCKC,LCKCA,C,KC,CKC,CCKC,DCCKC,ø,VV,CVC,CVVC,CVC,0,2,1,2,0,1,1,1,0,1,1,1,2,1,2,1,1,1,111,201,2001,5,2,2,3,1,L,CKC,ADC,CKC,?,C,A,C,?,C,C,C,L,K,D,K,1,0,1,1,T,4,paenultima
6,2,6,2,Sprach,ge,schich,te,e,ø,N,NN,SS,ø,C,CC,CCC,CCCL,CCCLC,K,CK,CCK,KCCK,CKCCK,ø,CCCVVC,CV,CVC,CV,2,1,2,1,1,0,1,0,3,1,1,1,2,1,1,1,2,311,101,201,101,2,2,2,2,-1,CCCLC,CK,CKC,CK,CCC,C,C,C,C,?,C,?,L,K,K,K,1,0,1,0,T,4,prima
2,2,2,6,zi,vi,li,stisch,isch,ø,A,A,SA,ø,A,AL,ALC,ALCL,ALCLC,C,KC,CKC,CCKC,KCCKC,ø,CVV,CVV,CVC,CVC,0,0,2,2,0,0,1,1,1,1,1,1,2,2,1,1,1,101,101,111,201,3,3,3,2,1,AL,CL,CKC,CKC,A,C,C,C,?,?,C,C,L,L,K,K,1,1,1,1,F,4,paenultima
3,4,3,3,Ein,satz,lei,ter,er,ein,N,NV,ø,acc,D,DC,DCC,DCCK,DCCKA,C,KC,CKC,DCKC,CDCKC,ø,VVC,CVC,CVV,CVC,0,2,0,2,1,1,0,1,0,1,1,1,2,1,2,1,2,1001,201,11,111,4,2,4,2,-1,DC,CKA,CD,CKC,?,C,C,C,C,A,?,C,D,K,D,K,1,1,1,0,T,4,prima
3,3,2,3,wie,der,se,hen,en,ø,V,BV,SS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,LKC,CLKC,CCLKC,ø,CVV,CVC,CVV,VC,0,2,0,1,0,1,0,1,1,1,1,0,2,1,2,1,2,101,111,101,1001,3,2,2,3,1,CL,CKC,CL,KC,C,C,C,?,?,C,?,C,L,K,L,K,1,0,1,0,F,4,prima
1,3,2,4,2,ber,de,cken,en,ueber,V,PV,SS,acc,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,KCKC,CKCKC,ø,VV,CVC,CVC,CVC,0,2,2,2,0,1,1,1,0,1,1,1,2,1,1,1,2,1,111,101,1101,5,2,2,2,1,L,CKC,CK,CKC,?,C,C,C,?,C,?,C,L,K,K,K,1,0,1,0,F,4,prima
2,2,3,2,Po,me,ran,ze,e,ø,N,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,K,AK,CAK,KCAK,CKCAK,ø,CVV,CV,CVC,CV,0,1,2,1,0,0,1,0,1,1,1,1,2,1,1,1,0,101,1001,1011,101,2,3,3,2,1,CL,CK,CKC,AK,C,C,C,A,?,?,C,?,L,K,K,K,1,0,1,0,T,4,paenultima
2,3,2,4,De,par,te,ment,ent,ø,N,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,N,CN,KCN,CKCN,CCKCN,ø,CVV,CVC,CV,CVV,0,2,1,0,0,1,0,0,1,1,1,1,2,1,1,2,0,101,111,101,1001,2,2,2,3,1,CL,CKC,CK,CN,C,C,C,C,?,C,?,?,L,K,K,N,1,1,0,1,T,4,ultima
1,3,5,4,2,ber,gl2ck,lich,ich,ueber,A,ø,SS,acc,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,CCKC,KCCKC,noacc,VV,CVC,CCVC,CVC,0,2,3,2,0,1,1,1,0,1,2,1,2,1,1,1,2,1,111,211,111,5,2,2,3,1,L,CKC,CCKC,CKC,?,C,CC,C,?,C,C,C,L,K,K,K,1,0,1,1,F,4,prima
2,4,3,3,Si,cker,was,ser,er,ø,N,VN,SS,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,CVC,CVC,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,101,111,101,111,3,2,2,2,1,CK,CKC,CK,CKC,C,C,C,C,?,C,?,C,K,K,K,K,1,0,1,0,T,4,prima
2,5,2,5,Be,kannt,ma,chung,ung,ø,N,ø,SSA,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CV,CVCC,CVC,CVC,1,3,2,2,0,2,1,1,1,1,1,1,1,1,1,1,2,101,1201,1001,1101,2,2,3,2,1,CK,CKCC,CK,CKC,C,C,C,C,?,CC,?,C,K,K,K,K,0,2,1,1,T,4,antepaenultima
2,3,2,3,Te,tra,lo,gie,ie,ø,N,ø,ø,ø,C,CL,CLC,CLCC,CLCCK,L,CL,LCL,CLCL,KCLCL,ø,CVV,CCVC,CVV,CVV,0,3,0,0,0,1,0,0,1,2,1,1,2,1,2,2,0,101,111,11,101,2,2,3,3,-1,CL,CCK,CL,CL,C,CC,C,C,?,?,?,?,L,K,L,L,1,1,1,1,T,4,ultima
3,4,3,3,tau,send,f1l,tig,ig,ø,ø,ø,SA,ø,C,CD,CDC,CDCK,CDCKC,C,KC,CKC,CCKC,KCCKC,ø,CVV,CVCC,CVC,CVC,0,3,2,2,0,2,1,1,1,1,1,1,2,1,1,1,1,101,1201,111,201,3,2,2,2,-1,CD,CKCC,CKC,CKC,C,C,C,C,?,CC,C,C,D,K,K,K,1,0,1,1,F,4,prima
1,3,6,3,2,ber,schrei,ten,en,ueber,V,PV,SS,acc,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,DCKC,CDCKC,ø,VV,CVC,CCVV,CVC,0,2,1,2,0,1,0,1,0,1,2,1,2,1,2,1,2,1,111,111,1101,5,2,3,2,1,L,CKC,CCD,CKC,?,C,CC,C,?,C,?,C,L,K,D,K,1,0,1,0,F,4,paenultima
2,3,3,3,re,vol,tie,ren,en,ø,V,N,SA,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,CVC,0,2,0,2,0,1,0,1,1,1,1,1,2,1,2,1,1,11,111,101,1011,3,2,3,3,1,CL,CKC,CL,CKC,C,C,C,C,?,C,?,C,L,K,L,K,1,1,1,0,F,4,paenultima
4,4,4,4,Jung,fr1u,lich,keit,eit,ø,N,A,SA,ø,C,CK,CKC,CKCC,CKCCC,C,DC,CDC,CCDC,KCCDC,ø,CVC,CCVV,CVC,CVVC,2,1,2,1,1,0,1,1,1,2,1,1,1,2,1,2,1,1002,111,111,201,3,3,3,2,-1,CKC,CCD,CKC,CDC,C,CC,C,C,C,?,C,C,K,D,K,D,1,1,1,1,T,4,prima
2,3,3,2,To,ten,fei,er,er,ø,N,NN,SAS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,DKC,CDKC,CCDKC,ø,CVV,CVC,CVV,VC,0,2,0,1,0,1,0,1,1,1,1,0,2,1,2,1,2,101,1101,101,11,2,2,3,3,-1,CL,CKC,CD,KC,C,C,C,?,?,C,?,C,L,K,D,K,1,0,1,0,T,4,prima
2,4,3,3,zu,r2ck,sen,den,en,ø,V,BV,SS,ø,A,AL,ALC,ALCK,ALCKC,C,KC,CKC,CCKC,KCCKC,ø,CVV,CVC,CVC,CVC,0,2,2,2,0,1,1,1,1,1,1,1,2,1,1,1,2,101,111,1101,1101,3,3,2,2,1,AL,CKC,CKC,CKC,A,C,C,C,?,C,C,C,L,K,K,K,1,1,1,0,F,4,antepaenultima
2,3,3,3,An,bau,fl1,che,e,an,N,VN,ø,acc,K,KC,KCC,KCCD,KCCDC,K,CK,KCK,CKCK,CCKCK,ø,VC,CVV,CCVC,CV,1,0,3,1,1,0,1,0,0,1,2,1,1,2,1,1,2,1001,101,111,101,3,3,2,2,-1,KC,CD,CCK,CK,?,C,CC,C,C,?,?,?,K,D,K,K,1,1,1,0,T,4,prima
3,3,5,4,run,ter,schlu,cken,en,ø,V,BV,SS,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,CCVC,CVC,2,2,3,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1011,111,111,1101,3,2,3,2,1,CKC,CKC,CCK,CKC,C,C,CC,C,C,C,?,C,K,K,K,K,1,0,1,0,F,4,prima
3,3,3,3,auf,sum,mie,ren,en,auf,V,V,AS,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,LCKC,CLCKC,ø,VVC,CVC,CVV,CVC,0,2,0,2,1,1,0,1,0,1,1,1,2,1,2,1,1,101,101,1001,1011,3,3,3,3,1,DC,CK,CL,CKC,?,C,C,C,C,?,?,C,D,K,L,K,1,1,1,0,F,4,prima
4,3,3,3,Ster,nen,ban,ner,er,ø,N,NN,SAS,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,CVC,CVC,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,211,2001,101,1011,2,2,2,3,1,CCKC,CKC,CK,CKC,CC,C,C,C,C,C,?,C,K,K,K,K,1,0,1,0,T,4,prima
2,2,3,4,An,ge,w3h,nung,ung,an,N,V,SA,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,LCKC,CLCKC,ø,VC,CV,CVV,CVC,1,1,0,2,1,0,0,1,0,1,1,1,1,1,2,1,1,1001,101,101,2001,3,2,2,3,1,KC,CK,CL,CKC,?,C,C,C,C,?,?,C,K,K,L,K,1,0,1,1,T,4,prima
3,2,3,3,Spi,no,zis,mus,us,ø,N,ø,ø,ø,C,CC,CCL,CCLC,CCLCL,C,KC,CKC,CCKC,KCCKC,ø,CCVV,CVV,CVC,CVC,1,0,2,2,0,0,1,1,2,1,1,1,2,2,1,1,0,201,1001,201,1101,2,3,2,2,1,CCL,CL,AKC,CKC,CC,C,A,C,?,?,C,C,L,L,K,K,1,1,1,1,T,4,paenultima
3,3,3,2,Wan,der,nie,re,e,ø,N,VN,SS,ø,C,CK,CKC,CKCC,CKCCK,K,CK,LCK,CLCK,CCLCK,ø,CVC,CVC,CVV,CV,2,2,0,1,1,1,0,0,1,1,1,1,1,1,2,1,2,1101,111,1001,11,2,2,3,3,-1,CKC,CKC,CL,CK,C,C,C,C,C,C,?,?,K,K,L,K,1,0,1,0,T,4,prima
5,3,2,4,Schul,ter,ge,lenk,enk,ø,N,NN,SS,ø,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,KCKCC,ø,CVC,CVC,CV,CVCC,2,2,1,3,1,1,0,2,1,1,1,1,1,1,1,1,2,111,111,101,1111,3,2,2,2,1,CKC,CKC,CK,CKCC,C,C,C,C,C,C,?,CC,K,K,K,K,1,0,0,2,T,4,prima
2,3,5,3,be,sin,nungs,los,os,be,A,ø,SAS,noacc,C,CK,CKC,CKCK,CKCKC,C,LC,CLC,CCLC,CCCLC,ø,CV,CVC,CVCC,CVVC,1,2,3,1,0,1,2,1,1,1,1,1,1,1,1,2,2,101,101,2101,111,2,3,2,2,1,CK,CK,CKCC,CLC,C,C,C,C,?,?,CC,C,K,K,K,L,0,1,2,1,F,4,antepaenultima
3,3,3,3,kon,tra,zep,tiv,iv,ø,A,R,SA,ø,C,CK,CKC,CKCC,CKCCC,C,LC,CLC,CCLC,KCCLC,ø,CVC,CCVV,CVC,CVVC,2,1,2,1,1,0,1,1,1,2,1,1,1,2,1,2,1,1101,111,201,201,2,3,2,2,-1,CKC,CCL,AKC,CLC,C,CC,A,C,C,?,C,C,K,L,K,L,1,1,1,1,F,4,ultima
