syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
gen,ø,n,en,gen,egen,wegen,C,KC,CKC,LCKC,CLCKC,ø,des,ø,d,de,des,desw,deswe,C,CK,CKC,CKCC,CKCCL,ø,8,7,10,2,3,3,1,light,light,schwa,c,o,c,CKC,CL,CKC,C,C,C,C,,C,K,L,K,3,2,3,1,0,1,1,1,1,1,2,1,CVC,CVV,CVC,2,0,2,ADV,ø,F,2,deswegen,multa
len,ø,n,en,len,llen,illen,C,KC,CKC,KCKC,CKCKC,ø,des,ø,d,de,des,desw,deswi,C,CK,CKC,CKCC,CKCCK,ø,8,9,13,2,4,4,2,light,light,schwa,c,c,c,CKC,CK,CKC,C,C,C,C,,C,K,K,K,3,3,3,1,1,1,1,1,1,1,1,1,CVC,CVC,CVC,2,2,2,ADV,ø,F,2,deswillen,multa
ab,ø,b,ab,nab,inab,hinab,C,KC,CKC,KCKC,CKCKC,ø,dort,ø,d,do,dor,dort,dorth,C,CK,CKC,CKCC,CKCCC,ø,12,9,10,3,4,3,-1,heavy,light,light,c,c,c,CKCC,CK,CKC,C,C,C,CC,,C,K,K,K,4,3,2,2,1,1,1,1,1,1,1,1,CVCC,CVC,CVC,3,2,2,ADV,ø,F,2,dorthinab,multa
aus,ø,s,us,aus,naus,inaus,C,DC,CDC,KCDC,CKCDC,ø,dort,ø,d,do,dor,dort,dorth,C,CK,CKC,CKCC,CKCCC,ø,12,9,14,3,4,4,1,heavy,light,light,c,c,c,CKCC,CK,CDC,C,C,C,CC,,C,K,K,D,4,3,3,2,1,1,1,1,1,1,1,2,CVCC,CVC,CVVC,3,2,1,ADV,ø,F,2,dorthinaus,multa
mal,ø,l,al,mal,dmal,ndmal,C,LC,CLC,CCLC,CCCLC,ø,dut,ø,d,du,dut,dutz,dutze,C,CK,CKA,CKAK,CKAKC,ø,9,11,17,4,2,5,4,light,schwa,light,c,c,c,CK,AKCC,CLC,C,A,C,,CC,C,K,K,L,3,4,3,1,2,1,1,1,1,1,1,2,CVC,CVCC,CVVC,2,3,1,ADV,ø,F,2,dutzendmal,multa
da,ø,a,da,nda,enda,benda,L,CL,CCL,KCCL,CKCCL,ø,e,ø,e,eb,ebe,eben,ebend,L,LC,LCK,LCKC,LCKCC,ø,6,10,11,6,3,5,2,light,schwa,light,o,c,o,L,CKC,CL,,C,C,,C,,L,K,L,1,3,2,0,1,0,0,1,1,2,1,2,VV,CVC,CVV,0,2,0,ADV,ø,F,2,ebenda,multa
dort,ø,t,rt,ort,dort,ndort,C,CC,KCC,CKCC,CCKCC,ø,e,ø,e,eb,ebe,eben,ebend,L,LC,LCK,LCKC,LCKCC,ø,6,10,12,6,3,3,3,light,schwa,heavy,o,c,c,L,CKC,CKCC,,C,C,,C,CC,L,K,K,1,3,4,0,1,2,0,1,1,2,1,1,VV,CVC,CVCC,0,2,3,ADV,ø,F,2,ebendort,multa
dem,ø,m,em,dem,edem,hedem,C,LC,CLC,KCLC,LKCLC,ø,e,ø,e,eh,ehe,ehed,ehede,L,LK,LKC,LKCL,LKCLC,ø,6,6,10,6,6,3,2,light,schwa,light,o,o,c,L,K,CLC,,,C,,,C,L,K,L,1,2,3,0,0,1,0,0,1,2,1,2,VV,V,CVVC,0,0,1,ADV,ø,F,2,ehedem,multa
halb,ø,b,lb,alb,halb,nhalb,C,CC,KCC,CKCC,CCKCC,ø,ein,ein,e,ei,ein,eine,einei,D,DC,DCD,DCDC,DCDCC,acc,13,13,12,6,6,3,-1,light,light,heavy,c,c,c,DC,DC,CKCC,,,C,C,C,CC,D,D,K,3,3,4,1,1,2,0,0,1,2,2,1,VVC,VVC,CVCC,0,0,3,X,ø,F,2,eineinhalb,multa
lei,ø,i,ei,lei,rlei,erlei,D,CD,CCD,KCCD,CKCCD,ø,ei,ø,e,ei,ein,eine,einer,D,DC,DCK,DCKC,DCKCC,acc,10,13,14,10,4,7,2,light,schwa,light,o,c,o,D,CKC,CD,,C,C,,C,,D,K,D,2,3,3,0,1,0,0,1,1,2,1,2,VV,CVC,CVV,0,2,0,ADV,ø,F,1,einerlei,multa
lei,ø,i,ei,lei,rlei,erlei,D,CD,CCD,KCCD,CKCCD,ø,Ei,ø,E,Ei,Ein,Eine,Einer,D,DC,DCK,DCKC,DCKCC,acc,10,13,14,10,4,7,2,light,schwa,light,o,c,o,D,CKC,CD,,C,C,,C,,D,K,D,2,3,3,0,1,0,0,1,1,2,1,2,VV,CVC,CVV,0,2,0,N,B,T,1,Einerlei,multa
lei,ø,i,ei,lei,rlei,erlei,D,CD,CCD,KCCD,CKCCD,ø,ei,ø,e,ei,ein,eine,einer,D,DC,DCK,DCKC,DCKCC,acc,10,13,14,10,4,7,2,light,schwa,light,o,c,o,D,CKC,CD,,C,C,,C,,D,K,D,2,3,3,0,1,0,0,1,1,2,1,2,VV,CVC,CVV,0,2,0,X,ø,F,1,einerlei,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,ei,ø,e,ei,ein,eine,einer,D,DC,DCK,DCKC,DCKCC,ø,10,13,12,10,4,4,1,light,schwa,light,o,c,c,D,CKC,CDA,,C,C,,C,A,D,K,D,2,3,5,0,1,1,0,1,1,2,1,2,VV,CVC,CVVC,0,2,1,ADV,ø,F,2,einerseits,multa
teils,ø,s,ls,ils,eils,teils,C,CC,DCC,CDCC,CCDCC,ø,ei,ø,e,ei,ein,eine,eines,D,DC,DCK,DCKC,DCKCC,acc,10,10,16,10,3,4,3,light,schwa,heavy,o,c,c,D,CKC,CDCC,,C,C,,C,CC,D,K,D,2,3,5,0,1,2,0,1,1,2,1,2,VV,CVC,CVVCC,0,2,1,ADV,ø,F,2,einesteils,multa
ner,ø,r,er,ner,uner,auner,C,KC,CKC,DCKC,CDCKC,ø,Erz,ø,E,Er,Erz,Erzg,Erzga,K,KC,KCA,KCAC,KCACD,ø,11,11,13,3,5,4,1,heavy,light,schwa,c,o,c,KCA,CD,CKC,,C,C,CA,,C,K,D,K,3,3,3,2,0,1,0,1,1,1,2,1,VCC,CVV,CVC,2,0,2,N,N,T,1,Erzgauner,multa
lich,ø,h,ch,ich,lich,flich,C,KC,CKC,CCKC,LCCKC,noacc,erz,ø,e,er,erz,erzh,erzho,K,KC,KCA,KCAC,KCACL,ø,11,8,13,3,2,4,1,heavy,light,light,c,c,c,KCA,CLC,CKC,,C,C,CA,C,C,K,L,K,3,3,4,2,1,1,0,1,1,1,2,1,VCC,CVVC,CVC,2,1,2,A,A,F,1,erzhoeflich,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,e2,ø,e,eu,eue,euer,euers,D,DK,DKC,DKCC,DKCCD,ø,10,10,12,10,5,4,1,light,schwa,light,o,c,c,D,KC,CDA,,,C,,C,A,D,K,D,2,2,5,0,1,1,0,0,1,2,1,2,VV,VC,CVVC,0,1,1,ADV,ø,F,2,euerseits,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,eu,ø,e,eu,eur,eure,eurer,D,DC,DCK,DCKC,DCKCC,ø,10,14,12,10,4,4,1,light,schwa,light,o,c,c,D,CKC,CDA,,C,C,,C,A,D,K,D,2,3,5,0,1,1,0,1,1,2,1,2,VV,CVC,CVVC,0,2,1,ADV,ø,F,2,eurerseits,multa
fest,ø,t,st,est,fest,nfest,C,CC,KCC,CKCC,CCKCC,ø,fel,ø,f,fe,fel,fels,felse,C,CK,CKC,CKCC,CKCCK,ø,11,10,9,3,3,2,-1,light,schwa,heavy,c,c,c,CKC,CKC,CKCC,C,C,C,C,C,CC,K,K,K,3,3,4,1,1,2,1,1,1,1,1,1,CVC,CVC,CVCC,2,2,3,A,NA,F,2,felsenfest,multa
aus,ø,s,us,aus,raus,eraus,C,DC,CDC,KCDC,CKCDC,ø,frei,ø,f,fr,fre,frei,freih,C,CC,CCD,CCDC,CCDCK,ø,15,7,15,5,3,5,0,light,light,light,o,c,c,CCD,CK,CDC,CC,C,C,,,C,D,K,D,4,3,3,0,1,1,2,1,1,2,1,2,CCVV,CVC,CVVC,1,2,1,ADV,ø,F,2,freiheraus,multa
dert,ø,t,rt,ert,dert,ndert,C,CC,KCC,CKCC,CCKCC,ø,f2nf,ø,f,fu,fue,fuen,fuenf,C,CK,CKC,CKCC,CKCCC,ø,13,12,12,3,4,3,-1,heavy,light,schwa,c,c,c,CKCC,CKC,CKCC,C,C,C,CC,C,CC,K,K,K,4,3,4,2,1,2,1,1,1,1,1,1,CVCC,CVC,CVCC,3,2,3,X,ø,F,2,fuenfhundert,multa
tier,ø,r,er,ier,tier,rtier,C,LC,CLC,CCLC,KCCLC,ø,Haupt,ø,H,Ha,Hau,Haup,Haupt,C,CD,CDC,CDCC,CDCCC,ø,13,12,13,3,3,4,0,heavy,light,light,c,c,c,CDCC,CCKC,CLC,C,CC,C,CC,C,C,D,K,L,5,4,4,2,1,1,1,2,1,2,1,2,CVVCC,CCVC,CVVC,1,3,1,N,NN,T,2,Hauptquartier,multa
auf,ø,f,uf,auf,rauf,erauf,C,DC,CDC,KCDC,CKCDC,ø,hier,ø,h,hi,hie,hier,hierh,C,CL,CLC,CLCC,CLCCK,ø,13,7,15,4,3,5,1,light,light,light,c,c,c,CLC,CK,CDC,C,C,C,C,,C,L,K,D,4,3,3,1,1,1,1,1,1,2,1,2,CVVC,CVC,CVVC,1,2,1,ADV,ø,F,2,hierherauf,multa
um,um,m,um,rum,erum,herum,C,KC,CKC,KCKC,CKCKC,ø,hier,ø,h,hi,hie,hier,hierh,C,CL,CLC,CLCC,CLCCK,ø,13,7,15,4,3,5,1,light,light,light,c,c,c,CLC,CK,CKC,C,C,C,C,,C,L,K,K,4,3,2,1,1,1,1,1,1,2,1,1,CVVC,CVC,CVC,1,2,2,ADV,ø,F,2,hierherum,multa
ben,ø,n,en,ben,eben,neben,C,KC,CKC,LCKC,CLCKC,ø,hier,ø,h,hi,hie,hier,hiern,C,CL,CLC,CLCC,CLCCL,ø,13,9,10,4,4,3,-2,light,light,schwa,c,o,c,CLC,CL,CKC,C,C,C,C,,C,L,L,K,4,2,3,1,0,1,1,1,1,2,2,1,CVVC,CVV,CVC,1,0,2,ADV,ø,F,2,hierneben,multa
ber,ø,r,er,ber,eber,ueber,C,KC,CKC,LCKC,CLCKC,ø,hier,ø,h,hi,hie,hier,hieru,C,CL,CLC,CLCL,CLCLC,ø,9,12,11,4,6,3,1,light,light,schwa,o,o,c,CL,CL,CKC,C,C,C,,,C,L,L,K,4,1,3,0,0,1,1,1,1,2,2,1,CVV,CVV,CVC,0,0,2,ADV,ø,F,2,hierueber,multa
ter,ø,r,er,ter,nter,unter,C,KC,CKC,CCKC,KCCKC,ø,hier,ø,h,hi,hie,hier,hieru,C,CL,CLC,CLCK,CLCKC,ø,13,11,11,4,5,3,-1,light,light,schwa,c,c,c,CLC,KC,CKC,C,,C,C,C,C,L,K,K,4,2,3,1,1,1,1,0,1,2,1,1,CVVC,VC,CVC,1,1,2,ADV,ø,F,2,hierunter,multa
der,ø,r,er,der,ider,wider,C,KC,CKC,LCKC,CLCKC,ø,hier,ø,h,hi,hie,hier,hierw,C,CL,CLC,CLCC,CLCCL,ø,13,9,11,4,4,3,-1,light,light,schwa,c,o,c,CLC,CL,CKC,C,C,C,C,,C,L,L,K,4,2,3,1,0,1,1,1,1,2,2,1,CVVC,CVV,CVC,1,0,2,ADV,ø,F,2,hierwider,multa
schen,ø,n,en,hen,chen,schen,C,KC,CKC,KCKC,CKCKC,ø,hier,ø,h,hi,hie,hier,hierz,C,CL,CLC,CLCA,CLCAC,ø,13,10,10,4,3,3,-2,light,light,schwa,c,c,c,CLC,ACK,CKC,C,AC,C,C,,C,L,K,K,4,3,5,1,1,1,1,2,1,2,1,1,CVVC,CCVC,CVC,1,3,2,ADV,ø,F,2,hierzwischen,multa
lich,ø,h,ch,ich,lich,glich,C,KC,CKC,CCKC,LCCKC,noacc,h3chst,ø,h,ho,hoe,hoec,hoech,C,CL,CLC,CLCC,CLCCC,ø,10,10,13,2,3,4,1,heavy,light,light,c,c,c,CLCCC,CLC,CKC,C,C,C,CCC,C,C,L,L,K,6,3,4,3,1,1,1,1,1,2,2,1,CVVCCC,CVVC,CVC,2,1,2,A,ø,F,2,hoechstmoeglich,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,ih,ø,i,ih,ihr,ihre,ihrer,L,LC,LCK,LCKC,LCKCC,ø,8,14,12,8,4,4,2,light,schwa,light,o,c,c,L,CKC,CDA,,C,C,,C,A,L,K,D,2,3,5,0,1,1,0,1,1,2,1,2,VV,CVC,CVVC,0,2,1,ADV,ø,F,2,ihrerseits,multa
hin,ø,n,in,hin,rhin,erhin,C,KC,CKC,CCKC,KCCKC,ø,im,ø,i,im,imm,imme,immer,K,KC,KCK,KCKC,KCKCC,ø,8,13,12,8,4,4,2,light,schwa,light,c,c,c,K,CKC,CKC,,C,C,,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,ADV,ø,F,2,immerhin,multa
zu,ø,u,zu,rzu,erzu,merzu,L,AL,CAL,KCAL,CKCAL,ø,im,ø,i,im,imm,imme,immer,K,KC,KCK,KCKC,KCKCA,ø,8,13,9,8,4,4,0,light,schwa,light,c,c,o,K,CKC,AL,,C,A,,C,,K,K,L,2,3,2,1,1,0,0,1,1,1,1,2,VC,CVC,CVV,1,2,0,ADV,ø,F,2,immerzu,multa
der,ø,r,er,der,eder,weder,C,KC,CKC,LCKC,CLCKC,ø,jed,ø,j,je,jed,jedw,jedwe,C,CL,CLC,CLCC,CLCCL,ø,13,7,11,4,3,3,-1,light,light,schwa,c,o,c,CLC,CL,CKC,C,C,C,C,,C,L,L,K,3,2,3,1,0,1,1,1,1,2,2,1,CVVC,CVV,CVC,1,0,2,X,ø,F,1,jedweder,multa
lig,ø,g,ig,lig,ilig,eilig,C,KC,CKC,DCKC,CDCKC,noacc,je,ø,j,je,jew,jewe,jewei,C,CL,CLC,CLCD,CLCDC,ø,12,11,13,6,5,4,0,light,light,light,o,o,c,CL,CD,CKC,C,C,C,,,C,L,D,K,2,3,3,0,0,1,1,1,1,2,2,1,CVV,CVV,CVC,0,0,2,A,ø,F,2,jeweilig,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,kei,ø,k,ke,kei,kein,keine,C,CD,CDC,CDCK,CDCKC,ø,11,13,12,5,4,4,0,light,schwa,light,o,c,c,CD,CKC,CDA,C,C,C,,C,A,D,K,D,3,3,5,0,1,1,1,1,1,2,1,2,CVV,CVC,CVVC,0,2,1,ADV,ø,F,2,keinerseits,multa
lich,ø,h,ch,ich,lich,mlich,C,KC,CKC,CCKC,DCCKC,noacc,klamm,ø,k,kl,kla,klam,klamm,C,CC,CCK,CCKC,CCKCC,ø,14,14,13,3,4,4,-1,light,light,light,c,c,c,CCKC,CDC,CKC,CC,C,C,C,C,C,K,D,K,5,4,4,1,1,1,2,1,1,1,2,1,CCVC,CVVC,CVC,3,1,2,A,AA,F,2,klammheimlich,multa
d2rr,ø,r,rr,err,uerr,duerr,C,KC,CKC,CCKC,KCCKC,ø,klap,ø,k,kl,kla,klap,klapp,C,CC,CCK,CCKC,CCKCK,ø,11,11,13,3,3,4,1,light,schwa,light,c,c,c,CCK,CKC,CKC,CC,C,C,,C,C,K,K,K,4,3,4,1,1,1,2,1,1,1,1,1,CCVC,CVC,CVC,3,2,2,A,ø,F,2,klapperduerr,multa
na$,ø,s,ss,ass,nass,enass,C,KC,CKC,KCKC,AKCKC,ø,klat,ø,k,kl,kla,klat,klats,C,CC,CCK,CCKA,CCKAK,ø,11,7,10,3,3,3,-1,light,schwa,light,c,o,c,CCK,AK,CKC,CC,A,C,,,C,K,K,K,4,4,3,1,0,1,2,1,1,1,1,1,CCVC,CV,CVC,3,1,2,A,ø,F,2,klatschenass,multa
lich,ø,h,ch,ich,lich,glich,C,KC,CKC,CCKC,LCCKC,noacc,kleinst,ø,k,kl,kle,klei,klein,C,CC,CCD,CCDC,CCDCC,ø,20,10,13,3,3,4,-4,heavy,light,light,c,c,c,CCDCCC,CLC,CKC,CC,C,C,CCC,C,C,D,L,K,7,3,4,3,1,1,2,1,1,2,2,1,CCVVCCC,CVVC,CVC,2,1,2,A,ø,F,2,kleinstmoeglich,multa
bel,ø,l,el,bel,ebel,uebel,C,KC,CKC,LCKC,ALCKC,ø,kotz,ø,k,ko,kot,kotz,kotzu,C,CK,CKA,CKAL,CKALC,ø,8,8,11,2,8,3,1,light,light,schwa,c,o,c,CKA,L,CKC,C,,C,A,,C,K,L,K,4,1,3,1,0,1,1,0,1,1,2,1,CVC,VV,CVC,2,0,2,A,ø,F,2,kotzuebel,multa
hand,ø,d,nd,and,hand,rhand,C,CC,KCC,CKCC,CCKCC,ø,kur,ø,k,ku,kur,kurz,kurze,C,CK,CKC,CKCA,CKCAK,ø,13,11,11,4,3,2,-1,light,schwa,heavy,c,c,c,CKC,AKC,CKCC,C,A,C,C,C,CC,K,K,K,3,3,4,1,1,2,1,1,1,1,1,1,CVC,CVC,CVCC,2,2,3,ADV,AN,F,2,kurzerhand,multa
rund,ø,d,nd,und,rund,hrund,C,CC,KCC,CKCC,CCKCC,ø,l1ng,ø,l,la,lae,laen,laeng,C,CK,CKC,CKCC,CKCCK,ø,13,13,16,4,4,4,1,light,light,heavy,c,c,c,CKC,CKC,CKCC,C,C,C,C,C,CC,K,K,K,4,4,4,1,1,2,1,1,1,1,1,1,CVC,CVC,CVCC,2,2,3,A,AA,F,2,laenglichrund,multa
rei,ø,i,ei,rei,erei,perei,D,CD,KCD,CKCD,KCKCD,acc,Lap,ø,L,La,Lap,Lapp,Lappe,C,CK,CKC,CKCK,CKCKC,ø,10,7,14,5,3,7,2,light,schwa,light,c,o,o,CK,CK,CD,C,C,C,,,,K,K,D,3,2,3,1,0,0,1,1,1,1,1,2,CVC,CV,CVV,2,1,0,N,V,T,1,Lapperei,multa
lich,ø,h,ch,ich,lich,dlich,C,KC,CKC,CCKC,CCCKC,noacc,letzt,ø,l,le,let,letz,letzt,C,CK,CKA,CKAC,CKACK,ø,12,10,13,3,3,4,0,heavy,heavy,light,c,c,c,CKAC,KCC,CKC,C,,C,AC,CC,C,K,K,K,5,3,4,2,2,1,1,0,1,1,1,1,CVCC,VCC,CVC,3,2,2,ADV,AA,F,2,letztendlich,multa
loh,ø,h,oh,loh,rloh,erloh,L,CL,CCL,KCCL,CKCCL,ø,lich,ø,l,li,lic,lich,licht,C,CK,CKC,CKCC,CKCCK,ø,13,11,10,4,3,5,-2,light,schwa,light,c,c,o,CKC,CKC,CL,C,C,C,C,C,,K,K,L,4,3,3,1,1,0,1,1,1,1,1,2,CVC,CVC,CVV,2,2,0,A,AN,F,2,lichterloh,multa
still,ø,l,ll,ill,till,still,C,KC,CKC,CCKC,CCCKC,ø,m1us,ø,m,ma,mae,maeu,maeus,C,CD,CDC,CDCC,CDCCK,ø,14,10,14,4,3,3,0,light,schwa,light,c,c,c,CDC,CKC,CCKC,C,C,CC,C,C,C,D,K,K,4,4,5,1,1,1,1,1,2,2,1,1,CVVC,CVC,CCVC,1,2,3,A,NA,F,2,maeuschenstill,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,mei,ø,m,me,mei,mein,meine,C,CD,CDC,CDCK,CDCKC,ø,13,13,12,6,4,4,-1,light,schwa,light,o,c,c,CD,CKC,CDA,C,C,C,,C,A,D,K,D,3,3,5,0,1,1,1,1,1,2,1,2,CVV,CVC,CVVC,0,2,1,ADV,ø,F,2,meinerseits,multa
teils,ø,s,ls,ils,eils,teils,C,CC,DCC,CDCC,CCDCC,ø,mei,ø,m,me,mei,mein,meine,C,CD,CDC,CDCK,CDCKC,ø,13,10,16,6,3,4,1,light,schwa,heavy,o,c,c,CD,CKC,CDCC,C,C,C,,C,CC,D,K,D,3,3,5,0,1,2,1,1,1,2,1,2,CVV,CVC,CVVCC,0,2,1,ADV,ø,F,2,meinesteils,multa
neu,ø,u,eu,neu,lneu,elneu,D,CD,CCD,KCCD,CKCCD,ø,na,ø,n,na,nag,nage,nagel,C,CL,CLC,CLCK,CLCKC,ø,13,11,13,6,3,6,0,light,schwa,light,o,c,o,CL,CKC,CD,C,C,C,,C,,L,K,D,2,3,3,0,1,0,1,1,1,2,1,2,CVV,CVC,CVV,0,2,0,A,NA,F,2,nagelneu,multa
lei,ø,i,ei,lei,rlei,erlei,D,CD,CCD,KCCD,CKCCD,ø,neu,ø,n,ne,neu,neun,neune,C,CD,CDC,CDCK,CDCKC,ø,13,13,14,6,4,7,0,light,schwa,light,o,c,o,CD,CKC,CD,C,C,C,,C,,D,K,D,3,3,3,0,1,0,1,1,1,2,1,2,CVV,CVC,CVV,0,2,0,X,ø,F,1,neunerlei,multa
her,ø,r,er,her,sher,dsher,C,LC,CLC,ACLC,CACLC,ø,nir,ø,n,ni,nir,nirg,nirge,C,CK,CKC,CKCC,CKCCK,ø,15,11,11,5,2,3,-2,light,schwa,light,c,c,c,CKC,CKCA,CLC,C,C,C,C,CA,C,K,K,L,3,5,3,1,2,1,1,1,1,1,1,2,CVC,CVCC,CVVC,2,3,1,ADV,ø,F,2,nirgendsher,multa
hin,ø,n,in,hin,shin,dshin,C,KC,CKC,ACKC,CACKC,ø,nir,ø,n,ni,nir,nirg,nirge,C,CK,CKC,CKCC,CKCCK,ø,15,11,12,5,2,4,-2,light,schwa,light,c,c,c,CKC,CKCA,CKC,C,C,C,C,CA,C,K,K,K,3,5,3,1,2,1,1,1,1,1,1,1,CVC,CVCC,CVC,2,3,2,ADV,ø,F,2,nirgendshin,multa
holz,ø,z,lz,olz,holz,lholz,A,CA,KCA,CKCA,CCKCA,ø,Nu,ø,N,Nu,Nud,Nude,Nudel,C,CL,CLC,CLCK,CLCKC,ø,11,11,12,5,3,3,0,light,schwa,heavy,o,c,c,CL,CKC,CKCA,C,C,C,,C,CA,L,K,K,2,3,4,0,1,2,1,1,1,2,1,1,CVV,CVC,CVCC,0,2,3,N,NN,T,2,Nudelholz,multa
drauf,ø,f,uf,auf,rauf,drauf,C,DC,CDC,CCDC,CCCDC,ø,o,ø,o,ob,obe,oben,obend,L,LC,LCK,LCKC,LCKCC,ø,6,10,16,6,3,4,5,light,schwa,light,o,c,c,L,CKC,CCDC,,C,CC,,C,C,L,K,D,1,3,5,0,1,1,0,1,2,2,1,2,VV,CVC,CCVVC,0,2,1,ADV,ø,F,2,obendrauf,multa
hin,ø,n,in,hin,nhin,enhin,C,KC,CKC,CCKC,KCCKC,ø,o,ø,o,ob,obe,oben,obenh,L,LC,LCK,LCKC,LCKCC,ø,6,10,12,6,3,4,3,light,schwa,light,o,c,c,L,CKC,CKC,,C,C,,C,C,L,K,K,1,3,3,0,1,1,0,1,1,2,1,1,VV,CVC,CVC,0,2,2,ADV,ø,F,2,obenhin,multa
disch,ø,h,ch,sch,isch,disch,C,KC,CKC,CCKC,KCCKC,ø,ost,ø,o,os,ost,osti,ostin,K,KC,KCC,KCCK,KCCKC,ø,8,11,10,2,5,3,1,heavy,light,light,c,c,c,KCC,KC,CKC,,,C,CC,C,C,K,K,K,3,2,5,2,1,1,0,0,1,1,1,1,VCC,VC,CVC,2,1,2,A,NA,F,2,ostindisch,multa
ost,ø,t,st,ost,dost,rdost,C,CC,KCC,CKCC,CCKCC,ø,Ost,ø,O,Os,Ost,Ostn,Ostno,K,KC,KCC,KCCC,KCCCK,ø,8,14,8,2,3,2,0,heavy,heavy,heavy,c,c,c,KCC,CKCC,KCC,,C,,CC,CC,CC,K,K,K,3,4,3,2,2,2,0,1,0,1,1,1,VCC,CVCC,VCC,2,3,2,N,NN,T,2,Ostnordost,multa
ost,ø,t,st,ost,dost,edost,C,CC,KCC,CKCC,LCKCC,ø,Ost,ø,O,Os,Ost,Osts,Ostsu,K,KC,KCC,KCCC,KCCCL,ø,8,10,8,2,3,2,0,heavy,light,heavy,c,c,c,KCC,CLC,KCC,,C,,CC,C,CC,K,L,K,3,3,3,2,1,2,0,1,0,1,2,1,VCC,CVVC,VCC,2,1,2,N,NN,T,2,Ostsuedost,multa
ster,ø,r,er,ter,ster,nster,C,KC,CKC,CCKC,CCCKC,ø,pech,ø,p,pe,pec,pech,pechf,C,CK,CKC,CKCC,CKCCK,ø,8,12,12,2,4,3,2,light,light,schwa,c,c,c,CKC,CKC,CCKC,C,C,CC,C,C,C,K,K,K,4,3,4,1,1,1,1,1,2,1,1,1,CVC,CVC,CCVC,2,2,3,A,NA,F,2,pechfinster,multa
tag,ø,g,ag,tag,ntag,ontag,C,LC,CLC,CCLC,LCCLC,ø,Pfingst,ø,P,Pf,Pfi,Pfin,Pfing,A,AK,AKC,AKCC,AKCCC,ø,14,12,12,2,4,4,-1,heavy,light,light,c,c,c,AKCCC,CLC,CLC,A,C,C,CCC,C,C,K,L,L,7,3,3,3,1,1,1,1,1,1,2,2,CVCCC,CVVC,CVVC,4,1,1,N,NN,T,2,Pfingstmontag,multa
tag,ø,g,ag,tag,ntag,nntag,C,LC,CLC,CCLC,KCCLC,ø,Pfingst,ø,P,Pf,Pfi,Pfin,Pfing,A,AK,AKC,AKCC,AKCCC,ø,14,10,12,2,3,4,-1,heavy,light,light,c,c,c,AKCCC,CKC,CLC,A,C,C,CCC,C,C,K,K,L,7,4,3,3,1,1,1,1,1,1,1,2,CVCCC,CVC,CVVC,4,2,1,N,NN,T,2,Pfingstsonntag,multa
ding,ø,g,ng,ing,ding,dding,C,KC,CKC,KCKC,CKCKC,ø,Plum,ø,P,Pl,Plu,Plum,Plump,C,CC,CCK,CCKC,CCKCC,ø,18,9,12,4,4,4,-3,light,light,light,c,c,c,CCKC,CK,CKC,CC,C,C,C,,C,K,K,K,4,3,4,1,1,1,2,1,1,1,1,1,CCVC,CVC,CVC,3,2,2,N,ø,T,0,Plumpudding,multa
nackt,ø,t,kt,ckt,ackt,nackt,C,CC,KCC,CKCC,CCKCC,ø,pu,ø,p,pu,pud,pude,pudel,C,CL,CLC,CLCK,CLCKC,ø,9,11,11,4,3,2,1,light,schwa,heavy,o,c,c,CL,CKC,CKCC,C,C,C,,C,CC,L,K,K,2,3,5,0,1,2,1,1,1,2,1,1,CVV,CVC,CVCC,0,2,3,A,NA,F,2,pudelnackt,multa
