syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
$end,ø,d,nd,end,send,ssend,C,CC,KCC,CKCC,DCKCC,herz,ø,h,he,her,herz,herzz,C,CK,CKC,CKCA,CKCAA,12,11,14,11,3,3,7,2,0,heavy,light,light,schwa,c,c,o,c,CKCA,AKC,CD,CKCC,C,A,C,C,CA,C,,CC,K,K,D,K,4,3,3,4,2,1,0,2,1,1,1,1,1,1,2,1,CVCC,CVC,CVV,CVCC,3,2,0,3,A,NF,F,2,herzzerreissend,prima
ter,ø,r,er,ter,eter,meter,C,KC,CKC,LCKC,CLCKC,He,ø,H,He,Hex,Hexa,Hexam,C,CK,CKC,CKCC,CKCCL,7,12,9,11,3,4,4,3,1,light,light,light,schwa,c,o,o,c,CK,CCL,CL,CKC,C,CC,C,C,,,,C,K,L,L,K,2,2,2,3,1,0,0,1,1,2,1,1,1,2,2,1,CVC,CCVV,CVV,CVC,2,1,0,2,N,ø,T,2,Hexameter,antepaenultima
ster,ø,r,er,ter,ster,ister,C,KC,CKC,CCKC,DCCKC,He,ø,H,He,Hex,Hexe,Hexen,C,CK,CKC,CKCC,CKCCK,7,11,14,11,3,2,4,3,1,light,schwa,light,schwa,c,c,c,c,CK,CCKC,CDC,CKC,C,CC,C,C,,C,C,C,K,K,D,K,2,3,3,4,1,1,1,1,1,2,1,1,1,1,2,1,CVC,CCVC,CVVC,CVC,2,3,1,2,N,NN,T,2,Hexenmeister,prima
ten,ø,n,en,ten,lten,alten,C,KC,CKC,CCKC,KCCKC,hier,ø,h,hi,hie,hier,hierb,C,CL,CLC,CLCC,CLCCK,13,7,11,10,4,3,3,3,-1,light,schwa,light,schwa,c,o,c,c,CLC,CK,CKC,CKC,C,C,C,C,C,,C,C,L,K,K,K,4,2,3,3,1,0,1,1,1,1,1,1,2,1,1,1,CVVC,CV,CVC,CVC,1,1,2,2,V,BV,F,2,hierbehalten,prima
men,ø,n,en,men,mmen,ommen,C,KC,CKC,KCKC,CKCKC,hier,ø,h,hi,hie,hier,hierh,C,CL,CLC,CLCC,CLCCL,13,11,7,12,4,3,3,4,-1,light,light,light,schwa,c,c,c,c,CLC,CLC,CK,CKC,C,C,C,C,C,C,,C,L,L,K,K,4,3,3,3,1,1,1,1,1,1,1,1,2,2,1,1,CVVC,CVVC,CVC,CVC,1,1,2,2,V,BV,F,2,hierherkommen,antepaenultima
gend,ø,d,nd,end,gend,ngend,C,CC,KCC,CKCC,KCKCC,hil,ø,h,hi,hil,hilf,hilfe,C,CK,CKC,CKCC,CKCCK,13,7,13,13,4,3,4,3,0,light,schwa,light,schwa,c,o,c,c,CKC,CK,CCK,CKCC,C,C,CC,C,C,,,CC,K,K,K,K,3,2,4,4,1,0,1,2,1,1,2,1,1,1,1,1,CVC,CV,CCVC,CVCC,2,1,3,3,A,NF,F,2,hilfebringend,prima
stung,ø,g,ng,ung,tung,stung,C,KC,CKC,CCKC,DCCKC,Hil,ø,H,Hi,Hil,Hilf,Hilfe,C,CK,CKC,CKCC,CKCCK,13,7,15,12,4,3,5,4,0,light,schwa,light,light,c,o,c,c,CKC,CK,CDC,CKC,C,C,C,C,C,,C,C,K,K,D,K,3,2,3,5,1,0,1,1,1,1,1,1,1,1,2,1,CVC,CV,CVVC,CVC,2,1,1,2,N,NV,T,2,Hilfeleistung,prima
fend,ø,d,nd,end,fend,ufend,C,CC,KCC,CKCC,LCKCC,hil,ø,h,hi,hil,hilf,hilfe,C,CK,CKC,CKCC,CKCCK,13,7,12,11,4,3,6,2,0,light,schwa,light,schwa,c,o,o,c,CKC,CK,CL,CKCC,C,C,C,C,C,,,CC,K,K,L,K,3,2,2,4,1,0,0,2,1,1,1,1,1,1,2,1,CVC,CV,CVV,CVCC,2,1,0,3,A,NF,F,2,hilferufend,prima
lung,ø,g,ng,ung,lung,llung,C,KC,CKC,KCKC,CKCKC,Hil,ø,H,Hi,Hil,Hilf,Hilfe,C,CK,CKC,CKCC,CKCCK,13,7,8,15,4,3,2,5,0,light,schwa,light,light,c,o,c,c,CKC,CK,CCK,CKC,C,C,CC,C,C,,,C,K,K,K,K,3,2,4,4,1,0,1,1,1,1,2,1,1,1,1,1,CVC,CV,CCVC,CVC,2,1,3,2,N,NN,T,2,Hilfestellung,prima
chend,ø,d,nd,end,hend,chend,C,CC,KCC,CKCC,LCKCC,hil,ø,h,hi,hil,hilf,hilfe,C,CK,CKC,CKCC,CKCCK,13,7,9,11,4,3,4,2,-1,light,schwa,light,schwa,c,o,o,c,CKC,CK,CL,CKCC,C,C,C,C,C,,,CC,K,K,L,K,3,2,2,5,1,0,0,2,1,1,1,1,1,1,2,1,CVC,CV,CVV,CVCC,2,1,0,3,A,NF,F,2,hilfesuchend,prima
ter,ø,r,er,ter,iter,eiter,C,KC,CKC,DCKC,CDCKC,Hilfs,ø,H,Hi,Hil,Hilf,Hilfs,C,CK,CKC,CKCC,CKCCC,15,10,11,11,3,5,5,3,-1,heavy,light,light,schwa,c,c,o,c,CKCCC,KC,CD,CKC,C,,C,C,CCC,C,,C,K,K,D,K,5,2,3,3,3,1,0,1,1,0,1,1,1,1,2,1,CVCCC,VC,CVV,CVC,4,1,0,2,N,NN,T,2,Hilfsarbeiter,prima
tig,ø,g,ig,tig,ftig,rftig,C,KC,CKC,CCKC,CCCKC,hilfs,ø,h,hi,hil,hilf,hilfs,C,CK,CKC,CKCC,CKCCC,15,7,14,10,3,3,3,3,-1,heavy,schwa,heavy,light,c,o,c,c,CKCCC,CK,CKCC,CKC,C,C,C,C,CCC,,CC,C,K,K,K,K,5,2,4,3,3,0,2,1,1,1,1,1,1,1,1,1,CVCCC,CV,CVCC,CVC,4,1,3,2,A,NA,F,2,hilfsbeduerftig,prima
nal,ø,l,al,nal,onal,sonal,C,LC,CLC,LCLC,CLCLC,Hilfs,ø,H,Hi,Hil,Hilf,Hilfs,C,CK,CKC,CKCC,CKCCC,15,11,7,17,3,3,3,5,0,heavy,light,light,light,c,c,o,c,CKCCC,CKC,CL,CLC,C,C,C,C,CCC,C,,C,K,K,L,L,5,3,2,3,3,1,0,1,1,1,1,1,1,1,2,2,CVCCC,CVC,CVV,CVVC,4,2,0,1,N,NN,T,2,Hilfspersonal,prima
ben,ø,n,en,ben,rben,arben,C,KC,CKC,CCKC,KCCKC,him,ø,h,hi,him,himb,himbe,C,CK,CKC,CKCC,CKCCL,12,11,11,10,4,3,3,3,-1,light,light,light,schwa,c,c,c,c,CKC,CLC,CKC,CKC,C,C,C,C,C,C,C,C,K,L,K,K,3,4,3,3,1,1,1,1,1,1,1,1,1,2,1,1,CVC,CVVC,CVC,CVC,2,1,2,2,A,NN,F,2,himbeerfarben,prima
big,ø,g,ig,big,rbig,arbig,C,KC,CKC,CCKC,KCCKC,him,ø,h,hi,him,himb,himbe,C,CK,CKC,CKCC,CKCCL,12,11,11,10,4,3,3,3,-1,light,light,light,light,c,c,c,c,CKC,CLC,CKC,CKC,C,C,C,C,C,C,C,C,K,L,K,K,3,4,3,3,1,1,1,1,1,1,1,1,1,2,1,1,CVC,CVVC,CVC,CVC,2,1,2,2,A,NA,F,2,himbeerfarbig,prima
end,end,d,nd,end,iend,eiend,C,CC,KCC,DKCC,CDKCC,him,ø,h,hi,him,himm,himme,C,CK,CKC,CKCK,CKCKC,9,13,15,10,4,4,5,3,0,light,schwa,light,schwa,c,c,o,c,CK,CKC,CCD,KCC,C,C,CC,,,C,,CC,K,K,D,K,3,3,6,3,1,1,0,2,1,1,2,0,1,1,2,1,CVC,CVC,CCVV,VCC,2,2,1,2,A,NF,F,2,himmelschreiend,prima
per,ø,r,er,per,rper,erper,C,KC,CKC,CCKC,KCCKC,Him,ø,H,Hi,Him,Himm,Himme,C,CK,CKC,CKCK,CKCKC,9,14,11,11,4,3,3,3,0,light,schwa,light,schwa,c,c,c,c,CK,CKCC,CKC,CKC,C,C,C,C,,CC,C,C,K,K,K,K,3,4,3,3,1,2,1,1,1,1,1,1,1,1,1,1,CVC,CVCC,CVC,CVC,2,3,2,2,N,NN,T,2,Himmelskoerper,prima
tung,ø,g,ng,ung,tung,htung,C,KC,CKC,CCKC,KCCKC,Him,ø,H,Hi,Him,Himm,Himme,C,CK,CKC,CKCK,CKCKC,9,14,13,12,4,3,4,4,0,light,schwa,light,light,c,c,c,c,CK,CKCC,CKC,CKC,C,C,C,C,,CC,C,C,K,K,K,K,3,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,CVC,CVCC,CVC,CVC,2,3,2,2,N,NN,T,2,Himmelsrichtung,prima
sel,sel,l,el,sel,ssel,essel,C,KC,CKC,KCKC,CKCKC,Him,ø,H,Hi,Him,Himm,Himme,C,CK,CKC,CKCK,CKCKC,9,14,13,11,4,3,4,3,0,light,schwa,light,schwa,c,c,c,c,CK,CKCC,CCK,CKC,C,C,CC,C,,CC,,C,K,K,K,K,3,4,6,3,1,2,1,1,1,1,2,1,1,1,1,1,CVC,CVCC,CCVC,CVC,2,3,3,2,N,NN,T,2,Himmelsschluessel,prima
ren,ø,n,en,ren,hren,ahren,C,KC,CKC,LCKC,CLCKC,hin,hin,h,hi,hin,hina,hinab,C,CK,CKC,CKCK,CKCKC,9,10,11,13,4,3,5,4,1,light,light,light,schwa,c,c,o,c,CK,CKC,CL,CKC,C,C,C,C,,C,,C,K,K,L,K,3,2,3,3,1,1,0,1,1,1,1,1,1,1,2,1,CVC,CVC,CVV,CVC,2,2,0,2,V,BV,F,2,hinabfahren,antepaenultima
hen,ø,n,en,hen,ehen,gehen,C,KC,LKC,CLKC,CCLKC,hin,hin,h,hi,hin,hina,hinab,C,CK,CKC,CKCK,CKCKC,9,10,7,9,4,3,3,4,-1,light,light,light,schwa,c,c,o,c,CK,CKC,CL,KC,C,C,C,,,C,,C,K,K,L,K,3,2,2,3,1,1,0,1,1,1,1,0,1,1,2,1,CVC,CVC,CVV,VC,2,2,0,1,V,BV,F,2,hinabgehen,antepaenultima
gen,ø,n,en,gen,igen,eigen,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinab,C,CK,CKC,CKCK,CKCKC,9,10,12,10,4,3,4,3,0,light,light,light,schwa,c,c,o,c,CK,CKC,CCD,CKC,C,C,CC,C,,C,,C,K,K,D,K,3,2,4,3,1,1,0,1,1,1,2,1,1,1,2,1,CVC,CVC,CCVV,CVC,2,2,1,2,V,BV,F,2,hinabsteigen,antepaenultima
zen,ø,n,en,zen,rzen,erzen,C,KC,AKC,CAKC,KCAKC,hin,hin,h,hi,hin,hina,hinab,C,CK,CKC,CKCK,CKCKC,9,10,14,10,4,3,3,3,0,light,light,light,schwa,c,c,c,c,CK,CKC,CCKC,AKC,C,C,CC,A,,C,C,C,K,K,K,K,3,2,4,3,1,1,1,1,1,1,2,1,1,1,1,1,CVC,CVC,CCVC,CVC,2,2,3,2,V,BV,F,2,hinabstuerzen,antepaenultima
chen,chen,n,en,hen,chen,uchen,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinab,C,CK,CKC,CKCK,CKCKC,9,10,11,10,4,3,5,3,0,light,light,light,schwa,c,c,o,c,CK,CKC,CD,CKC,C,C,C,C,,C,,C,K,K,D,K,3,2,3,4,1,1,0,1,1,1,1,1,1,1,2,1,CVC,CVC,CVV,CVC,2,2,0,2,V,BV,F,2,hinabtauchen,antepaenultima
ten,ø,n,en,ten,iten,eiten,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinar,C,CK,CKC,CKCK,CKCKC,12,10,11,10,4,5,5,3,-1,light,light,light,schwa,c,c,o,c,CKC,KC,CD,CKC,C,,C,C,C,C,,C,K,K,D,K,3,2,3,3,1,1,0,1,1,0,1,1,1,1,2,1,CVC,VC,CVV,CVC,2,1,0,2,V,BV,F,2,hinarbeiten,prima
cken,ø,n,en,ken,cken,icken,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,13,10,4,4,4,3,0,light,light,light,schwa,c,c,c,c,CK,CDC,CCK,CKC,C,C,CC,C,,C,,C,K,D,K,K,3,3,3,4,1,1,1,1,1,1,2,1,1,2,1,1,CVC,CVVC,CCVC,CVC,2,1,3,2,V,BV,F,2,hinaufblicken,antepaenultima
hen,ø,n,en,hen,ehen,gehen,C,KC,LKC,CLKC,CCLKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,7,9,4,4,3,4,-1,light,light,light,schwa,c,c,o,c,CK,CDC,CL,KC,C,C,C,,,C,,C,K,D,L,K,3,3,2,3,1,1,0,1,1,1,1,0,1,2,2,1,CVC,CVVC,CVV,VC,2,1,0,1,V,BV,F,2,hinaufgehen,antepaenultima
tern,ø,n,rn,ern,tern,ttern,C,CC,KCC,CKCC,KCKCC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,11,14,4,4,3,3,1,light,light,light,schwa,c,c,c,c,CK,CDC,CCK,CKCC,C,C,CC,C,,C,,CC,K,D,K,K,3,3,4,4,1,1,1,2,1,1,2,1,1,2,1,1,CVC,CVVC,CCVC,CVCC,2,1,3,3,V,BV,F,2,hinaufklettern,antepaenultima
chen,chen,n,en,hen,chen,ichen,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,14,10,4,4,7,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,CD,CKC,C,C,C,C,,C,,C,K,D,D,K,3,3,3,4,1,1,0,1,1,1,1,1,1,2,2,1,CVC,CVVC,CVV,CVC,2,1,0,2,V,BV,F,2,hinaufreichen,antepaenultima
gen,ø,n,en,gen,igen,eigen,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,12,10,4,4,4,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,CCD,CKC,C,C,CC,C,,C,,C,K,D,D,K,3,3,4,3,1,1,0,1,1,1,2,1,1,2,2,1,CVC,CVVC,CCVV,CVC,2,1,1,2,V,BV,F,2,hinaufsteigen,antepaenultima
hen,ø,n,en,hen,ehen,iehen,C,KC,LKC,ALKC,CALKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,9,9,4,4,4,4,-1,light,light,light,schwa,c,c,o,c,CK,CDC,AL,KC,C,C,A,,,C,,C,K,D,L,K,3,3,3,3,1,1,0,1,1,1,1,0,1,2,2,1,CVC,CVVC,CVV,VC,2,1,0,1,V,BV,F,2,hinaufziehen,antepaenultima
gen,ø,n,en,gen,ugen,eugen,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,11,10,4,4,5,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,CD,CKC,C,C,C,C,,C,,C,K,D,D,K,3,3,3,3,1,1,0,1,1,1,1,1,1,2,2,1,CVC,CVVC,CVV,CVC,2,1,0,2,V,BV,F,2,hinausbeugen,antepaenultima
gen,ø,n,en,gen,ngen,engen,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,11,12,4,4,3,4,0,light,light,light,schwa,c,c,c,c,CK,CDC,CCK,CKC,C,C,CC,C,,C,,C,K,D,K,K,3,3,4,3,1,1,1,1,1,1,2,1,1,2,1,1,CVC,CVVC,CCVC,CVC,2,1,3,2,V,BV,F,2,hinausdraengen,antepaenultima
keln,ø,n,ln,eln,keln,ekeln,C,CC,KCC,CKCC,LCKCC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,6,14,4,4,6,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,L,CKCC,C,C,,C,,C,,CC,K,D,L,K,3,3,1,4,1,1,0,2,1,1,0,1,1,2,2,1,CVC,CVVC,VV,CVCC,2,1,0,3,V,BV,F,2,hinausekeln,antepaenultima
ren,ø,n,en,ren,hren,ahren,C,KC,CKC,LCKC,CLCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,11,13,4,4,5,4,1,light,light,light,schwa,c,c,o,c,CK,CDC,CL,CKC,C,C,C,C,,C,,C,K,D,L,K,3,3,3,3,1,1,0,1,1,1,1,1,1,2,2,1,CVC,CVVC,CVV,CVC,2,1,0,2,V,BV,F,2,hinausfahren,antepaenultima
hen,ø,n,en,hen,ehen,gehen,C,KC,LKC,CLKC,CCLKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,7,9,4,4,3,4,-1,light,light,light,schwa,c,c,o,c,CK,CDC,CL,KC,C,C,C,,,C,,C,K,D,L,K,3,3,2,3,1,1,0,1,1,1,1,0,1,2,2,1,CVC,CVVC,CVV,VC,2,1,0,1,V,BV,F,2,hinausgehen,antepaenultima
men,ø,n,en,men,mmen,ommen,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,7,12,4,4,3,4,0,light,light,light,schwa,c,c,c,c,CK,CDC,CK,CKC,C,C,C,C,,C,,C,K,D,K,K,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,CVC,CVVC,CVC,CVC,2,1,2,2,V,BV,F,2,hinauskommen,antepaenultima
sen,ø,n,en,sen,ssen,assen,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,10,10,4,4,5,3,0,light,light,light,schwa,c,c,c,c,CK,CDC,CK,CKC,C,C,C,C,,C,,C,K,D,K,K,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,CVC,CVVC,CVC,CVC,2,1,2,2,V,BV,F,2,hinauslassen,antepaenultima
fen,ø,n,en,fen,ufen,aufen,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,14,10,4,4,7,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,CD,CKC,C,C,C,C,,C,,C,K,D,D,K,3,3,3,3,1,1,0,1,1,1,1,1,1,2,2,1,CVC,CVVC,CVV,CVC,2,1,0,2,V,BV,F,2,hinauslaufen,antepaenultima
ben,ø,n,en,ben,eben,ieben,C,KC,CKC,LCKC,CLCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,9,10,4,4,4,3,-1,light,light,light,schwa,c,c,o,c,CK,CDC,CL,CKC,C,C,C,C,,C,,C,K,D,L,K,3,3,5,3,1,1,0,1,1,1,1,1,1,2,2,1,CVC,CVVC,CVV,CVC,2,1,0,2,V,BV,F,2,hinausschieben,antepaenultima
$en,ø,n,en,sen,ssen,issen,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,14,10,4,4,4,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,CCD,CKC,C,C,CC,C,,C,,C,K,D,D,K,3,3,6,3,1,1,0,1,1,1,2,1,1,2,2,1,CVC,CVVC,CCVV,CVC,2,1,1,2,V,BV,F,2,hinausschmeissen,antepaenultima
gen,ø,n,en,gen,ngen,ingen,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,14,12,4,4,3,4,1,light,light,light,schwa,c,c,c,c,CK,CDC,CCCK,CKC,C,C,CCC,C,,C,,C,K,D,K,K,3,3,5,3,1,1,1,1,1,1,3,1,1,2,1,1,CVC,CVVC,CCCVC,CVC,2,1,4,2,V,BV,F,2,hinausspringen,antepaenultima
ben,ø,n,en,ben,iben,eiben,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,15,10,4,4,5,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,CCD,CKC,C,C,CC,C,,C,,C,K,D,D,K,3,3,4,3,1,1,0,1,1,1,2,1,1,2,2,1,CVC,CVVC,CCVV,CVC,2,1,1,2,V,BV,F,2,hinaustreiben,antepaenultima
gen,ø,n,en,gen,agen,wagen,C,KC,CKC,LCKC,CLCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,11,10,4,4,5,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,CL,CKC,C,C,C,C,,C,,C,K,D,L,K,3,3,2,3,1,1,0,1,1,1,1,1,1,2,2,1,CVC,CVVC,CVV,CVC,2,1,0,2,V,BV,F,2,hinauswagen,antepaenultima
fen,ø,n,en,fen,rfen,erfen,C,KC,CKC,CCKC,KCCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,11,10,4,4,3,3,0,light,light,light,schwa,c,c,c,c,CK,CDC,CKC,CKC,C,C,C,C,,C,C,C,K,D,K,K,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,CVC,CVVC,CVC,CVC,2,1,2,2,V,BV,F,2,hinauswerfen,antepaenultima
len,ø,n,en,len,llen,ollen,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,7,13,4,4,3,4,0,light,light,light,schwa,c,c,c,c,CK,CDC,CK,CKC,C,C,C,C,,C,,C,K,D,K,K,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,CVC,CVVC,CVC,CVC,2,1,2,2,V,BV,F,2,hinauswollen,antepaenultima
gern,ø,n,rn,ern,gern,egern,C,CC,KCC,CKCC,LCKCC,hin,hin,h,hi,hin,hina,hinau,C,CK,CKC,CKCD,CKCDC,9,14,7,14,4,4,3,3,0,light,light,light,schwa,c,c,o,c,CK,CDC,AL,CKCC,C,C,A,C,,C,,CC,K,D,L,K,3,3,2,4,1,1,0,2,1,1,1,1,1,2,2,1,CVC,CVVC,CVV,CVCC,2,1,0,3,V,BV,F,2,hinauszoegern,antepaenultima
ben,ø,n,en,ben,eben,geben,C,KC,CKC,LCKC,CLCKC,hin,hin,h,hi,hin,hinb,hinbe,C,CK,CKC,CKCC,CKCCK,12,7,7,10,4,3,3,3,-1,light,schwa,light,schwa,c,o,o,c,CKC,CK,CL,CKC,C,C,C,C,C,,,C,K,K,L,K,3,2,2,3,1,0,0,1,1,1,1,1,1,1,2,1,CVC,CV,CVV,CVC,2,1,0,2,V,BV,F,2,hinbegeben,prima
lauf,ø,f,uf,auf,lauf,slauf,C,DC,CDC,CCDC,KCCDC,Hin,ø,H,Hi,Hin,Hind,Hinde,C,CK,CKC,CKCC,CKCCK,12,11,12,15,4,3,4,5,1,light,schwa,light,light,c,c,c,c,CKC,CKC,CKC,CDC,C,C,C,C,C,C,C,C,K,K,K,D,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,2,CVC,CVC,CVC,CVVC,2,2,2,1,N,NN,T,2,Hindernislauf,prima
ten,ø,n,en,ten,tten,itten,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hine,hinei,C,CL,CLC,CLCD,CLCDC,9,16,9,10,4,5,4,3,-1,light,light,light,schwa,o,c,c,c,CL,CDC,CK,CKC,C,C,C,C,,C,,C,L,D,K,K,3,3,3,3,0,1,1,1,1,1,1,1,2,2,1,1,CVV,CVVC,CVC,CVC,0,1,2,2,V,BV,F,2,hineinbitten,antepaenultima
len,ø,n,en,len,llen,allen,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hine,hinei,C,CL,CLC,CLCD,CLCDC,9,16,7,13,4,5,3,4,0,light,light,light,schwa,o,c,c,c,CL,CDC,CK,CKC,C,C,C,C,,C,,C,L,D,K,K,3,3,3,3,0,1,1,1,1,1,1,1,2,2,1,1,CVV,CVVC,CVC,CVC,0,1,2,2,V,BV,F,2,hineinfallen,antepaenultima
ten,ø,n,en,ten,hten,chten,C,KC,CKC,CCKC,KCCKC,hin,hin,h,hi,hin,hine,hinei,C,CL,CLC,CLCD,CLCDC,9,16,14,10,4,5,3,3,0,light,light,light,schwa,o,c,c,c,CL,CDC,CCKC,CKC,C,C,CC,C,,C,C,C,L,D,K,K,3,3,5,3,0,1,1,1,1,1,2,1,2,2,1,1,CVV,CVVC,CCVC,CVC,0,1,3,2,V,BV,F,2,hineinfluechten,antepaenultima
hen,ø,n,en,hen,ehen,gehen,C,KC,LKC,CLKC,CCLKC,hin,hin,h,hi,hin,hine,hinei,C,CL,CLC,CLCD,CLCDC,9,16,7,9,4,5,3,4,-1,light,light,light,schwa,o,c,o,c,CL,CDC,CL,KC,C,C,C,,,C,,C,L,D,L,K,3,3,2,3,0,1,0,1,1,1,1,0,2,2,2,1,CVV,CVVC,CVV,VC,0,1,0,1,V,BV,F,2,hineingehen,antepaenultima
fen,ø,n,en,fen,ifen,eifen,C,KC,CKC,DCKC,CDCKC,hin,hin,h,hi,hin,hine,hinei,C,CL,CLC,CLCD,CLCDC,9,16,15,10,4,5,5,3,0,light,light,light,schwa,o,c,o,c,CL,CDC,CCD,CKC,C,C,CC,C,,C,,C,L,D,D,K,3,3,4,3,0,1,0,1,1,1,2,1,2,2,2,1,CVV,CVVC,CCVV,CVC,0,1,1,2,V,BV,F,2,hineingreifen,antepaenultima
sen,ø,n,en,sen,ssen,assen,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hine,hinei,C,CL,CLC,CLCD,CLCDC,9,16,7,10,4,5,3,3,-1,light,light,light,schwa,o,c,c,c,CL,CDC,CK,CKC,C,C,C,C,,C,,C,L,D,K,K,3,3,3,3,0,1,1,1,1,1,1,1,2,2,1,1,CVV,CVVC,CVC,CVC,0,1,2,2,V,BV,F,2,hineinpassen,antepaenultima
zen,ø,n,en,zen,tzen,atzen,C,KC,AKC,KAKC,CKAKC,hin,hin,h,hi,hin,hine,hinei,C,CL,CLC,CLCD,CLCDC,9,16,11,10,4,5,3,3,-1,light,light,light,schwa,o,c,c,c,CL,CDC,CCK,AKC,C,C,CC,A,,C,,C,L,D,K,K,3,3,4,3,0,1,1,1,1,1,2,1,2,2,1,1,CVV,CVVC,CCVC,CVC,0,1,3,2,V,BV,F,2,hineinplatzen,antepaenultima
