syl_len0,syl_len1,syl0,syl1,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,cv_ratio0,cv_ratio1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,comp_len,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_class0,syl_class1,onset_class0,onset_class1,koda_class0,koda_class1,nucleus_class0,nucleus_class1,syl_weight0,syl_weight1,nomen,sylcnt,stress_class
3,3,Kal,k2l,2l,ø,N,N,S,ø,C,CK,CKC,CKCC,CKCCL,C,LC,CLC,CCLC,KCCLC,ø,CVC,CVVC,2,1,1,1,1,1,1,2,1,111,111,2,3,0,CKC,CLC,C,C,C,C,K,L,1,1,T,2,ultima
3,2,Nis,se,e,ø,N,N,S,ø,C,CK,CKC,CKCK,ø,K,CK,KCK,CKCK,ø,ø,CVC,CV,2,1,1,0,1,1,1,1,1,1001,101,3,2,-1,CK,CK,C,C,?,?,K,K,1,0,T,2,paenultima
4,3,klop,pen,en,ø,V,V,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,111,1101,2,2,1,CCK,CKC,CC,C,?,C,K,K,1,0,F,2,paenultima
3,4,s1u,bern,ern,ø,V,A,S,ø,C,CD,CDC,CDCK,CDCKC,C,CC,KCC,CKCC,DCKCC,ø,CVV,CVCC,0,3,0,2,1,1,2,1,1,101,1111,3,2,1,CD,CKCC,C,C,?,CC,D,K,1,0,F,2,paenultima
5,4,Trost,wort,ort,ø,N,NN,SS,ø,C,CC,CCL,CCLC,CCLCC,C,CC,KCC,CKCC,CCKCC,ø,CCVVCC,CVCC,2,3,2,2,2,1,2,1,2,311,211,2,2,-1,CCLCC,CKCC,CC,C,CC,CC,L,K,2,2,T,2,paenultima
3,3,Sai,son,on,ø,N,ø,ø,ø,C,CK,CKC,CKCN,ø,N,CN,KCN,CKCN,ø,ø,CVC,CVV,2,0,1,0,1,1,1,2,0,101,101,2,3,0,CK,CN,C,C,?,?,K,N,1,1,T,2,ultima
2,5,Um,sturz,urz,um,N,V,S,acc,K,KC,KCC,KCCC,KCCCK,A,CA,KCA,CKCA,CCKCA,ø,VC,CCVCC,1,4,1,2,0,2,1,1,1,1001,311,3,2,-1,KC,CCKCA,?,CC,C,CA,K,K,1,2,T,2,paenultima
3,3,Per,ser,er,ø,N,ø,ø,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,0,111,111,2,2,0,CKC,CKC,C,C,C,C,K,K,1,0,T,2,paenultima
5,4,Rasch,heit,eit,ø,N,A,SA,ø,C,CK,CKC,CKCC,CKCCD,C,DC,CDC,CCDC,KCCDC,ø,CVC,CVVC,2,1,1,1,1,1,1,2,1,111,201,2,2,1,CKC,CDC,C,C,C,C,K,D,1,1,T,2,paenultima
4,5,herr,schen,en,ø,V,V,S,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,111,1101,2,2,1,CKC,CKC,C,C,C,C,K,K,1,0,F,2,paenultima
2,5,Ge,f1hrt,1hrt,ø,N,V,ø,ø,C,CK,CKC,CKCL,CKCLC,C,CC,LCC,CLCC,KCLCC,ø,CV,CVVCC,1,1,0,2,1,1,1,2,1,101,211,2,2,1,CK,CLCC,C,C,?,CC,K,L,0,2,T,2,ultima
4,3,Tran,che,e,ø,N,R,SA,ø,C,CC,CCN,CCNC,CCNCK,K,CK,NCK,CNCK,CCNCK,ø,CCVV,CV,1,1,0,0,2,1,2,1,1,111,101,3,2,-1,CCN,CK,CC,C,?,?,N,K,1,0,T,2,paenultima
4,4,gr1u,lich,ich,ø,A,A,SA,ø,C,CC,CCD,CCDC,CCDCK,C,KC,CKC,DCKC,CDCKC,noacc,CCVV,CVC,1,2,0,1,2,1,2,1,1,111,111,3,3,0,CCD,CKC,CC,C,?,C,D,K,1,1,F,2,paenultima
1,3,U,ral,al,ø,N,ø,ø,ø,L,LC,LCL,LCLC,ø,C,LC,CLC,LCLC,ø,ø,VV,CVVC,0,1,0,1,0,1,2,2,0,1,21,5,4,1,L,CLC,?,C,?,C,L,L,1,1,T,2,ultima
5,3,letzt,hin,in,ø,ADV,ø,SS,ø,C,CK,CKA,CKAC,CKACC,C,KC,CKC,CCKC,ACCKC,ø,CVCC,CVC,3,2,2,1,1,1,1,1,2,211,1101,2,2,1,CKAC,CKC,C,C,AC,C,K,K,2,1,F,2,paenultima
4,3,Klep,per,er,ø,N,N,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,111,111,2,2,0,CCK,CKC,CC,C,?,C,K,K,1,0,T,2,paenultima
4,2,Tren,se,e,ø,N,ø,ø,ø,C,CC,CCK,CCKC,CCKCC,K,CK,CCK,KCCK,CKCCK,ø,CCVC,CV,3,1,1,0,2,1,1,1,0,1111,101,2,2,-1,CCKC,CK,CC,C,C,?,K,K,1,0,T,2,paenultima
2,3,ek,lig,ig,ø,A,N,SA,ø,L,LC,LCC,LCCK,LCCKC,C,KC,CKC,CCKC,LCCKC,noacc,VVC,CVC,0,2,1,1,0,1,2,1,1,101,111,2,3,1,LC,CKC,?,C,C,C,L,K,1,1,F,2,paenultima
4,3,prun,ken,en,ø,V,N,S,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,KCCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,1111,1101,2,2,-1,CCKC,CKC,CC,C,C,C,K,K,1,0,F,2,paenultima
4,3,Scha,kal,al,ø,N,N,S,ø,C,CK,CKC,CKCL,CKCLC,C,LC,CLC,KCLC,CKCLC,ø,CVC,CVVC,2,1,1,1,1,1,1,2,1,101,111,2,3,1,CK,CLC,C,C,?,C,K,L,1,1,T,2,ultima
4,4,koch,echt,echt,ø,A,ø,SS,ø,C,CK,CKC,CKCK,CKCKC,C,CC,KCC,CKCC,KCKCC,ø,CVC,VCC,2,2,1,2,1,0,1,1,2,201,201,2,2,0,CKC,KCC,C,?,C,CC,K,K,1,2,F,2,paenultima
4,4,Sous,chef,ef,ø,N,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,0,101,201,3,2,1,CL,CKC,C,C,?,C,L,K,1,1,T,2,paenultima
5,4,prunk,haft,aft,ø,A,N,SA,ø,C,CC,CCK,CCKC,CCKCC,C,CC,KCC,CKCC,CCKCC,ø,CCVCC,CVCC,4,3,2,2,2,1,1,1,1,1211,301,2,1,-1,CCKCC,CKCC,CC,C,CC,CC,K,K,2,2,F,2,paenultima
3,3,Bla,zer,er,ø,N,ø,ø,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVC,1,2,0,1,2,1,2,1,0,111,111,2,2,0,CCL,CKC,CC,C,?,C,L,K,1,0,T,2,paenultima
4,4,Teak,holz,olz,ø,N,NN,SS,ø,C,CL,CLC,CLCC,CLCCK,A,CA,KCA,CKCA,CCKCA,ø,CVVC,CVCC,1,3,1,2,1,1,2,1,2,201,211,2,2,1,CLC,CKCA,C,C,C,CA,L,K,1,2,T,2,paenultima
4,6,R2ck,marsch,arsch,ø,N,N,AS,ø,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,111,1111,3,2,1,CKC,CKCC,C,C,C,CC,K,K,1,2,T,2,paenultima
6,4,Schutz,raum,aum,ø,N,NN,SS,ø,C,CK,CKA,CKAC,CKACD,C,DC,CDC,ACDC,KACDC,ø,CVC,CVVC,2,1,1,1,1,1,1,2,2,201,1011,2,3,1,CKA,CDC,C,C,A,C,K,D,1,1,T,2,paenultima
3,3,Rif,fel,el,ø,N,N,S,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,11,111,4,2,1,CK,CKC,C,C,?,C,K,K,1,0,T,2,paenultima
3,2,Feh,de,e,ø,N,N,S,ø,C,CL,CLC,CLCK,ø,K,CK,LCK,CLCK,ø,ø,CVV,CV,0,1,0,0,1,1,2,1,1,101,101,2,2,0,CL,CK,C,C,?,?,L,K,1,0,T,2,paenultima
2,5,be,reits,eits,ø,ADV,A,SA,ø,C,CK,CKC,CKCD,CKCDA,A,DA,CDA,KCDA,CKCDA,ø,CV,CVVC,1,1,0,1,1,1,1,2,1,101,111,2,3,1,CK,CDA,C,C,?,A,K,D,0,1,F,2,ultima
4,4,Stau,werk,erk,ø,N,NN,SS,ø,C,CC,CCD,CCDC,CCDCK,C,CC,KCC,CKCC,DCKCC,ø,CCVV,CVCC,1,3,0,2,2,1,2,1,2,201,211,2,2,1,CCD,CKCC,CC,C,?,CC,D,K,1,2,T,2,paenultima
3,4,Tur,nier,ier,ø,N,N,S,ø,C,CK,CKC,CKCC,CKCCL,C,LC,CLC,CCLC,KCCLC,ø,CVC,CVVC,2,1,1,1,1,1,1,2,1,111,1011,3,3,1,CKC,CLC,C,C,C,C,K,L,1,1,T,2,ultima
3,4,Tri,dent,ent,ø,N,ø,ø,ø,C,CC,CCL,CCLC,CCLCK,C,CC,KCC,CKCC,LCKCC,ø,CCVV,CVCC,1,3,0,2,2,1,2,1,0,111,1201,3,2,1,CCL,CKCC,CC,C,?,CC,L,K,1,2,T,2,ultima
3,4,Ant,wort,ort,ø,N,V,S,ø,K,KC,KCC,KCCC,KCCCK,C,CC,KCC,CKCC,CCKCC,ø,VCC,CVCC,2,3,2,2,0,1,1,1,1,1101,211,2,2,-1,KCC,CKCC,?,C,CC,CC,K,K,2,2,T,2,paenultima
2,3,Tu,mor,or,ø,N,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,0,101,1011,3,3,1,CL,CKC,C,C,?,C,L,K,1,1,T,2,paenultima
5,3,Kraft,akt,akt,ø,N,NN,SS,ø,C,CC,CCK,CCKC,CCKCC,C,CC,KCC,CKCC,CCKCC,ø,CCVCC,VCC,4,2,2,2,2,0,1,1,2,311,201,2,2,-1,CCKCC,KCC,CC,?,CC,CC,K,K,2,2,T,2,paenultima
3,3,Leu,zit,it,ø,N,N,S,ø,C,CD,CDA,CDAL,CDALC,C,LC,ALC,DALC,CDALC,ø,CVV,CVVC,0,1,0,1,1,1,2,2,1,11,201,4,2,1,CD,ALC,C,A,?,C,D,L,1,1,T,2,ultima
5,4,Kl3tz,chen,en,ø,N,N,SA,ø,C,CC,CCK,CCKA,CCKAC,C,KC,CKC,ACKC,KACKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,211,1101,2,2,1,CCKA,CKC,CC,C,A,C,K,K,1,0,T,2,paenultima
4,4,j1hr,lich,ich,ø,A,N,SA,ø,C,CL,CLC,CLCC,CLCCK,C,KC,CKC,CCKC,LCCKC,noacc,CVVC,CVC,1,2,1,1,1,1,2,1,1,12,111,3,3,1,CLC,CKC,C,C,C,C,L,K,1,1,F,2,paenultima
3,3,per,lig,ig,ø,A,N,SA,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,noacc,CVC,CVC,2,2,1,1,1,1,1,1,1,111,111,2,3,0,CKC,CKC,C,C,C,C,K,K,1,1,F,2,paenultima
2,3,Ti,ger,er,ø,N,N,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,111,3,2,1,CL,CKC,C,C,?,C,L,K,1,0,T,2,paenultima
3,4,blo,cken,en,ø,V,N,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,111,1101,2,2,1,CCK,CKC,CC,C,?,C,K,K,1,0,F,2,paenultima
4,4,fach,lich,ich,ø,A,N,SA,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,noacc,CVC,CVC,2,2,1,1,1,1,1,1,1,201,111,2,3,-1,CKC,CKC,C,C,C,C,K,K,1,1,F,2,paenultima
3,3,tor,los,os,ø,A,N,SA,ø,C,CL,CLC,CLCC,CLCCL,C,LC,CLC,CCLC,LCCLC,ø,CVVC,CVVC,1,1,1,1,1,1,2,2,1,111,111,2,2,0,CLC,CLC,C,C,C,C,L,L,1,1,F,2,paenultima
2,4,Am,pere,ere,ø,N,ø,ø,ø,N,NC,NCL,NCLC,ø,C,LC,CLC,NCLC,ø,ø,VV,CVVC,0,1,0,1,0,1,2,2,0,1,111,5,2,1,N,CLC,?,C,?,C,N,L,1,1,T,2,ultima
3,3,wei,tet,et,ø,A,A,S,ø,C,CD,CDC,CDCK,CDCKC,C,KC,CKC,DCKC,CDCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,201,3,2,1,CD,CKC,C,C,?,C,D,K,1,0,F,2,paenultima
2,3,un,ten,en,ø,ADV,ø,S,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,1,2,1,1,0,1,1,1,1,1001,1101,3,2,1,KC,CKC,?,C,C,C,K,K,1,0,F,2,paenultima
2,5,Jo,ghurt,urt,ø,N,N,S,ø,C,CL,CLC,CLCK,CLCKC,C,CC,KCC,CKCC,LCKCC,ø,CVV,CVCC,0,3,0,2,1,1,2,1,1,2,211,4,2,1,CL,CKCC,C,C,?,CC,L,K,1,2,T,2,paenultima
2,6,Ge,schenk,enk,ø,N,V,AS,ø,C,CK,CKC,CKCK,CKCKC,C,CC,KCC,CKCC,KCKCC,ø,CV,CVCC,1,3,0,2,1,1,1,1,1,101,1201,2,2,1,CK,CKCC,C,C,?,CC,K,K,0,2,T,2,ultima
3,3,Sta,ken,en,ø,N,N,S,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVC,1,2,0,1,2,1,2,1,1,201,1101,2,2,1,CCL,CKC,CC,C,?,C,L,K,1,0,T,2,paenultima
4,3,St2m,per,er,ø,N,A,SA,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,KCCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,1201,111,2,2,-1,CCKC,CKC,CC,C,C,C,K,K,1,0,T,2,paenultima
2,3,An,ruf,uf,an,N,V,S,acc,K,KC,KCC,KCCL,KCCLC,C,LC,CLC,CCLC,KCCLC,ø,VC,CVVC,1,1,1,1,0,1,1,2,1,1001,111,3,3,-1,KC,CLC,?,C,C,C,K,L,1,1,T,2,paenultima
3,4,Neu,land,and,ø,N,AN,SS,ø,C,CD,CDC,CDCK,CDCKC,C,CC,KCC,CKCC,DCKCC,ø,CVV,CVCC,0,3,0,2,1,1,2,1,2,1001,1111,4,2,1,CD,CKCC,C,C,?,CC,D,K,1,2,T,2,paenultima
3,4,Ban,kett,ett,ø,N,N,S,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,1101,201,2,2,-1,CKC,CKC,C,C,C,C,K,K,1,1,T,2,ultima
3,3,lul,len,en,ø,V,V,S,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,11,1011,4,3,1,CK,CKC,C,C,?,C,K,K,1,0,F,2,paenultima
5,3,Stelz,fu$,u$,ø,N,NN,SS,ø,C,CC,CCK,CCKC,CCKCA,C,LC,CLC,ACLC,CACLC,ø,CCVCC,CVVC,4,1,2,1,2,1,1,2,2,311,201,2,2,-1,CCKCA,CLC,CC,C,CA,C,K,L,2,1,T,2,paenultima
2,4,al,lein,ein,ø,A,A,S,ø,K,KC,KCD,KCDC,ø,C,DC,CDC,KCDC,ø,ø,VC,CVVC,1,1,1,1,0,1,1,2,1,1,1011,4,3,1,K,CDC,?,C,?,C,K,D,1,1,F,2,ultima
4,6,Luft,schlo$,o$,ø,N,NN,SS,ø,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,CCKC,CCCKC,ø,CVCC,CCVC,3,3,2,1,1,2,1,1,2,211,211,2,2,0,CKCC,CCKC,C,CC,CC,C,K,K,2,1,T,2,paenultima
6,3,schwei,gen,en,ø,V,V,S,ø,C,CC,CCD,CCDC,CCDCK,C,KC,CKC,DCKC,CDCKC,ø,CCVV,CVC,1,2,0,1,2,1,2,1,1,201,1101,2,2,1,CCD,CKC,CC,C,?,C,D,K,1,0,F,2,paenultima
2,4,bu,chen,en,ø,V,V,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,1101,3,2,1,CL,CKC,C,C,?,C,L,K,1,0,F,2,paenultima
3,5,see,lisch,isch,ø,A,N,SA,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,111,2,3,1,CL,CKC,C,C,?,C,L,K,1,1,F,2,paenultima
4,3,Mach,art,art,ø,N,VN,SS,ø,C,CK,CKC,CKCL,CKCLC,C,CC,LCC,CLCC,KCLCC,ø,CVC,VVCC,2,1,1,2,1,0,1,2,2,1101,111,2,3,-1,CKC,LCC,C,?,C,CC,K,L,1,2,T,2,paenultima
6,5,Schlag,kraft,aft,ø,N,VN,SS,ø,C,CC,CCL,CCLC,CCLCC,C,CC,KCC,CKCC,CCKCC,ø,CCVVC,CCVCC,1,4,1,2,2,2,2,1,2,211,311,2,2,1,CCLC,CCKCC,CC,CC,C,CC,L,K,1,2,T,2,paenultima
4,4,Zwet,sche,e,ø,N,N,S,ø,A,AC,ACK,ACKC,ACKCC,K,CK,CCK,KCCK,CKCCK,ø,CCVC,CV,3,1,1,0,2,1,1,1,1,301,101,1,2,-1,ACKC,CK,AC,C,C,?,K,K,1,0,T,2,paenultima
3,4,nie,drig,ig,ø,A,A,SA,ø,C,CL,CLC,CLCC,CLCCK,C,KC,CKC,CCKC,LCCKC,noacc,CVV,CCVC,0,3,0,1,1,2,2,1,1,1001,211,3,2,-1,CL,CCKC,C,CC,?,C,L,K,1,1,F,2,paenultima
4,4,R2ck,hand,and,ø,N,N,AS,ø,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,111,1201,3,2,1,CKC,CKCC,C,C,C,CC,K,K,1,2,T,2,paenultima
3,4,r2t,teln,eln,ø,V,V,S,ø,C,CK,CKC,CKCK,CKCKC,C,CC,KCC,CKCC,KCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,11,1111,4,2,1,CK,CKCC,C,C,?,CC,K,K,1,0,F,2,paenultima
4,4,Tr2b,sinn,inn,ø,N,AN,SS,ø,C,CC,CCL,CCLC,CCLCC,C,KC,CKC,CCKC,LCCKC,ø,CCVVC,CVC,1,2,1,1,2,1,2,1,2,211,1101,2,2,1,CCLC,CKC,CC,C,C,C,L,K,1,1,T,2,paenultima
3,5,der,einst,einst,ø,ADV,ø,SS,ø,C,CL,CLC,CLCD,CLCDC,C,CC,CCC,DCCC,CDCCC,ø,CVVC,VVCCC,1,1,1,3,1,0,2,2,2,111,1201,2,2,1,CLC,DCCC,C,?,C,CCC,L,D,1,2,F,2,ultima
3,3,Set,ter,er,ø,N,ø,ø,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,0,101,111,2,2,1,CK,CKC,C,C,?,C,K,K,1,0,T,2,paenultima
4,4,welt,fern,ern,ø,A,NA,SS,ø,C,CK,CKC,CKCC,CKCCC,C,CC,KCC,CKCC,CCKCC,ø,CVCC,CVCC,3,3,2,2,1,1,1,1,2,211,1111,2,2,1,CKCC,CKCC,C,C,CC,CC,K,K,2,2,F,2,paenultima
2,4,Um,brer,er,ø,N,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,CCKC,CCCKC,ø,VC,CCVC,1,3,1,1,0,2,1,1,0,1001,121,3,2,-1,KC,CCKC,?,CC,C,C,K,K,1,0,T,2,paenultima
3,3,f2h,len,en,ø,V,V,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,1011,3,3,1,CL,CKC,C,C,?,C,L,K,1,0,F,2,paenultima
2,3,Mu,dir,ir,ø,N,N,S,ø,C,CL,CLC,CLCL,CLCLC,C,LC,CLC,LCLC,CLCLC,ø,CVV,CVVC,0,1,0,1,1,1,2,2,1,1001,111,3,3,-1,CL,CLC,C,C,?,C,L,L,1,1,T,2,ultima
4,4,Kerb,holz,olz,ø,N,NN,SS,ø,C,CK,CKC,CKCC,CKCCC,A,CA,KCA,CKCA,CCKCA,ø,CVCC,CVCC,3,3,2,2,1,1,1,1,2,211,211,2,2,0,CKCC,CKCA,C,C,CC,CA,K,K,2,2,T,2,paenultima
4,2,Stie,ge,e,ø,N,V,SA,ø,C,CC,CCL,CCLC,CCLCK,K,CK,LCK,CLCK,CCLCK,ø,CCVV,CV,1,1,0,0,2,1,2,1,1,201,101,2,2,-1,CCL,CK,CC,C,?,?,L,K,1,0,T,2,paenultima
3,4,vor,nehm,ehm,ø,A,A,S,ø,C,CL,CLC,CLCC,CLCCL,C,LC,CLC,CCLC,LCCLC,ø,CVVC,CVVC,1,1,1,1,1,1,2,2,1,111,2001,2,2,1,CLC,CLC,C,C,C,C,L,L,1,1,F,2,paenultima
5,3,Stein,axt,axt,ø,N,NN,SS,ø,C,CC,CCD,CCDC,CCDCK,C,CC,CCC,KCCC,CKCCC,ø,CCVVC,VCCC,1,3,1,3,2,0,2,1,2,1201,301,2,1,-1,CCDC,KCCC,CC,?,C,CCC,D,K,1,2,T,2,paenultima
3,4,Kon,sens,ens,ø,N,N,S,ø,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,1101,1201,2,2,1,CKC,CKCC,C,C,C,CC,K,K,1,2,T,2,ultima
2,5,wi,ckeln,eln,ø,V,N,S,ø,C,CK,CKC,CKCK,CKCKC,C,CC,KCC,CKCC,KCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,101,1111,3,2,1,CK,CKCC,C,C,?,CC,K,K,1,0,F,2,paenultima
4,3,Frie,den,en,ø,N,N,S,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVC,1,2,0,1,2,1,2,1,1,111,1101,3,2,1,CCL,CKC,CC,C,?,C,L,K,1,0,T,2,paenultima
4,2,Brau,se,e,ø,N,N,S,ø,C,CC,CCD,CCDC,CCDCK,K,CK,DCK,CDCK,CCDCK,ø,CCVV,CV,1,1,0,0,2,1,2,1,1,111,101,3,2,-1,CCD,CK,CC,C,?,?,D,K,1,0,T,2,paenultima
4,3,stau,dig,ig,ø,A,N,SA,ø,C,CC,CCD,CCDC,CCDCK,C,KC,CKC,DCKC,CDCKC,noacc,CCVV,CVC,1,2,0,1,2,1,2,1,1,201,201,2,2,0,CCD,CKC,CC,C,?,C,D,K,1,1,F,2,paenultima
4,3,juch,hei,ei,ø,ø,ø,ø,ø,C,CK,CKC,CKCC,CKCCD,D,CD,CCD,KCCD,CKCCD,ø,CVC,CVV,2,0,1,0,1,1,1,2,0,102,101,3,3,0,CKC,CD,C,C,C,?,K,D,1,1,F,2,ultima
3,3,hit,zen,en,ø,V,N,S,ø,C,CK,CKA,CKAK,CKAKC,C,KC,AKC,KAKC,CKAKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,101,1101,3,2,1,CK,AKC,C,A,?,C,K,K,1,0,F,2,paenultima
4,4,zehn,tens,ens,ø,ADV,ø,SA,ø,A,AL,ALC,ALCC,ALCCK,C,CC,KCC,CKCC,CCKCC,ø,CVVC,CVCC,1,3,1,2,1,1,2,1,1,1101,1201,2,2,1,ALC,CKCC,A,C,C,CC,L,K,1,0,F,2,paenultima
4,4,fr3m,meln,eln,ø,V,A,SA,ø,C,CC,CCK,CCKC,CCKCK,C,CC,KCC,CKCC,KCKCC,ø,CCVC,CVCC,3,3,1,2,2,1,1,1,1,111,2011,2,2,1,CCK,CKCC,CC,C,?,CC,K,K,1,0,F,2,paenultima
2,3,Xe,non,on,ø,N,N,S,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVC,1,2,0,1,2,1,2,1,1,201,2001,2,2,1,CCL,CKC,CC,C,?,C,L,K,1,1,T,2,paenultima
4,4,kl3p,peln,eln,ø,V,N,S,ø,C,CC,CCK,CCKC,CCKCK,C,CC,KCC,CKCC,KCKCC,ø,CCVC,CVCC,3,3,1,2,2,1,1,1,1,111,1111,2,2,1,CCK,CKCC,CC,C,?,CC,K,K,1,0,F,2,paenultima
3,3,Kup,fer,er,ø,N,N,S,ø,C,CK,CKA,CKAK,CKAKC,C,KC,AKC,KAKC,CKAKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,1,101,111,3,2,1,CK,AKC,C,A,?,C,K,K,1,0,T,2,paenultima
2,3,Am,bo$,o$,ø,N,N,S,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,1,2,1,1,0,1,1,1,1,1001,201,3,2,-1,KC,CKC,?,C,C,C,K,K,1,1,T,2,paenultima
2,4,Ko,balt,alt,ø,N,N,S,ø,C,CL,CLC,CLCL,ø,L,CL,LCL,CLCL,ø,ø,CVV,CVCC,0,3,0,2,1,1,2,1,1,101,101,2,2,0,CL,CL,C,C,?,?,L,L,1,2,T,2,ultima
5,3,Markt,tag,ag,ø,N,NN,SS,ø,C,CK,CKC,CKCC,CKCCC,C,LC,CLC,CCLC,CCCLC,ø,CVCCC,CVVC,4,1,3,1,1,1,1,2,2,1211,201,2,2,-1,CKCCC,CLC,C,C,CCC,C,K,L,2,1,T,2,paenultima
2,4,so,sehr,ehr,ø,ADV,ø,SS,ø,C,CL,CLC,CLCL,CLCLC,C,LC,CLC,LCLC,CLCLC,ø,CVV,CVVC,0,1,0,1,1,1,2,2,2,101,111,2,2,1,CL,CLC,C,C,?,C,L,L,1,1,F,2,ultima
3,2,Run,de,e,ø,N,A,SA,ø,C,CK,CKC,CKCC,CKCCK,K,CK,CCK,KCCK,CKCCK,ø,CVC,CV,2,1,1,0,1,1,1,1,1,1011,101,3,2,-1,CKC,CK,C,C,C,?,K,K,1,0,T,2,paenultima
5,4,stern,hell,ell,ø,A,NA,SS,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,CCCKC,ø,CCVCC,CVC,4,2,2,1,2,1,1,1,2,1211,111,2,2,-1,CCKCC,CKC,CC,C,CC,C,K,K,2,1,F,2,paenultima
2,4,mo,kant,ant,ø,A,R,SA,ø,C,CL,CLC,CLCK,CLCKC,C,CC,KCC,CKCC,LCKCC,ø,CVV,CVCC,0,3,0,2,1,1,2,1,1,1001,1201,3,2,1,CL,CKCC,C,C,?,CC,L,K,1,2,F,2,ultima
