A	?\"a:
Strafmandat	Str\"a:f.man.d%a:t
Strafmandate	Str\"a:f.man.d%a:.t@
Strafmandaten	Str\"a:f.man.d%a:.t@n
Strafmandates	Str\"a:f.man.d%a:.t@s
Strafmandats	Str\"a:f.man.d%a:ts
Strafmaß	Str\"a:f.m%a:s
Strafminuten	Str\"a:f.mi:.n%u:.t@n
Strafporti	Str\"a:f.p%O6.ti:
Strafporto	Str\"a:f.p%O6.to:
Strafportos	Str\"a:f.p%O6.to:s
Strafpredigt	Str\"a:f.pr%e:.dICt
Strafpredigten	Str\"a:f.pr%e:.dIC.t@n
Strafprozesse	Str\"a:f.pro:.ts%E.s@
Strafprozessen	Str\"a:f.pro:.ts%E.s@n
Strafprozesses	Str\"a:f.pro:.ts%E.s@s
Strafprozeß	Str\"a:f.pro:.ts%Es
Strafpunkt	Str\"a:f.p%UNkt
Strafraum	Str\"a:f.r%aUm
Strafrecht	Str\"a:f.r%ECt
Strafregister	Str\"a:.fre:.g%Is.t6
Strafregistern	Str\"a:.fre:.g%Is.t6n
Strafregisters	Str\"a:.fre:.g%Is.t6s
Strafrichter	Str\"a:f.r%IC.t6
Strafsache	Str\"a:f.z%a.x@
Strafsenat	Str\"a:f.ze:.n%a:t
Strafstoß	Str\"a:f.St%o:s
Straftat	Str\"a:f.t%a:t
Straftaten	Str\"a:f.t%a:.t@n
Strafverfahren	Str\"a:f.fE6.f%a:.r@n
Strafverfahrens	Str\"a:f.fE6.f%a:.r@ns
Strafversetzung	Str\"a:f.fE6.z%E.tsUN
Strafverteidiger	Str\"a:f.fE6.t%aI.dI.g6
Strafverteidigerin	Str\"a:f.fE6.t%aI.dI.g@.rIn
Strafvollstreckung	Str\"a:f.fOl.Str%E.kUN
Strafvollzug	Str\"a:f.fOl.ts%u:k
Strafvollzuge	Str\"a:f.fOl.ts%u:.g@
Strafvollzuges	Str\"a:f.fOl.ts%u:.g@s
Strafvollzugs	Str\"a:f.fOl.ts%u:ks
Strafwurf	Str\"a:f.v%U6f
Strafzettel	Str\"a:f.ts%E.t@l
Strahl	Str\"a:l
Strahlen	Str\"a:.l@n
Strahls	Str\"a:ls
Strahlung	Str\"a:.lUN
Strahlungen	Str\"a:.lU.N@n
Straight	str\"EIt
Strain	str\"EIn
Stralsund	Stral.z\"Unt
Stramin	Stra.m\"i:n
Strampelanzug	Str\"am.p@l.?%an.tsu:k
Strampelhose	Str\"am.p@l.h%o:.z@
Strampelhöschen	Str\"am.p@l.h%2:s.C@n
Strampler	Str\"am.pl6
Strand	Str\"ant
Stranddistel	Str\"ant.d%Is.t@l
Stranddisteln	Str\"ant.d%Is.t@ln
Strande	Str\"an.d@
Strandes	Str\"an.d@s
Strands	Str\"ants
Strandung	Str\"an.dUN
Strandungen	Str\"an.dU.N@n
Strang	Str\"aN
Strange	Str\"a.N@
Stranges	Str\"a.N@s
Strangs	Str\"aNs
Strangulation	StraN.gu:.la.tsj\"o:n
Strangulationen	StraN.gu:.la.tsj\"o:.n@n
Strangulierung	StraN.gu:.l\"i:.rUN
Strangulierungen	StraN.gu:.l\"i:.rU.N@n
Strapaze	Stra.p\"a:.ts@
Strapazen	Stra.p\"a:.ts@n
Straps	Str\"aps
Strapse	Str\"ap.s@
Strasburger	Str\"a:s.bU6.g6
Strasse	Str\"a:.s@
Strassen	Str\"a:.s@n
Stratege	Stra.t\"e:.g@
Strategen	Stra.t\"e:.g@n
Strategie	Stra.te:.g\"i:
Strategien	Stra.te:.g\"i:.@n
Strategin	Stra.te:.g\"i:.@n
Strati	str\"a:.ti:
Stratifikation	Stra.ti:.fi:.ka.tsj\"o:n
Stratifikationen	Stra.ti:.fi:.ka.tsj\"o:.n@n
Stratosphäre	Stra.to:.sf\"E:.r@
Stratus	str\"a:.tUs
Straub	Str\"aUp
Strauch	Str\"aUx
Strauche	Str\"aU.x@
Strauches	Str\"aU.x@s
Strauchs	Str\"aUxs
Strausse	Str\"aU.s@
Straussen	Str\"aU.s@n
Strausses	Str\"aU.s@s
Strauß	Str\"aUs
Straß	Str\"as
Straßburg	Str\"a:s.b%U6k
Straße	Str\"a:.s@
Straßen	Str\"a:.s@n
Streamer	str\"i:.m6
Strebe	Str\"e:.b@
Streben	Str\"e:.b@n
Streber	Str\"e:.b6
Streberei	Stre:.b@.r\"aI
Strebern	Str\"e:.b6n
Strebers	Str\"e:.b6s
Strebertum	Str\"e:.b6.tu:m
Strebertums	Str\"e:.b6.tu:ms
Strebsamkeit	Str\"e:p.za:m.kaIt
Strebsamkeiten	Str\"e:p.za:m.kaI.t@n
Strebung	Str\"e:.bUN
Strebungen	Str\"e:.bU.N@n
Streckbarkeit	Str\"Ek.ba:6.kaIt
Strecke	Str\"E.k@
Streckmuskel	Str\"Ek.m%Us.k@l
Streckmuskeln	Str\"Ek.m%Us.k@ln
Streckmuskels	Str\"Ek.m%Us.k@ls
Streckung	Str\"E.kUN
Streckungen	Str\"E.kU.N@n
Street	str\"i:t
Streich	Str\"aIC
Streiche	Str\"aI.C@
Streicheleinheiten	Str\"aI.C@l.?%aIn.haI.t@n
Streichen	Str\"aI.C@n
Streicher	Str\"aI.C6
Streichern	Str\"aI.C6n
Streichers	Str\"aI.C6s
Streiches	Str\"aI.C@s
Streichs	Str\"aICs
Streichung	Str\"aI.CUN
Streichungen	Str\"aI.CU.N@n
Streif	Str\"aIf
Streife	Str\"aI.f@
Streifen	Str\"aI.f@n
Streifens	Str\"aI.f@ns
Streifes	Str\"aI.f@s
Streifs	Str\"aIfs
Streik	Str\"aIk
Streikende	Str\"aI.k@n.d@
Streikenden	Str\"aI.k@n.d@n
Streikendes	Str\"aI.k@n.d@s
Streiks	Str\"aIks
Streit	Str\"aIt
Streite	Str\"aI.t@
Streiten	Str\"aI.t@n
Streiter	Str\"aI.t6
Streiterei	StraI.t@.r\"aI
Streitereien	StraI.t@.r\"aI.@n
Streitern	Str\"aI.t6n
Streiters	Str\"aI.t6s
Streites	Str\"aI.t@s
Streitgespräch	Str\"aIt.g@.Spr%EC
Streitigkeit	Str\"aI.tIC.kaIt
Streits	Str\"aIts
Strelitze	Stre:.l\"I.ts@
Strelitzen	Stre:.l\"I.ts@n
Strengit	StrEN.g\"It
Streptokokken	strEp.to:.k\"O.k@n
Streptokokkus	strEp.to:.k\"O.kUs
Stresse	Str\"E.s@
Stressen	Str\"E.s@n
Stresses	Str\"E.s@s
Stretch	str\"EtS
Stretta	str\"E.ta:
Streu	Str\"OY
Streuer	Str\"OY.6
Streuern	Str\"OY.6n
Streuers	Str\"OY.6s
Streuner	Str\"OY.n6
Streunern	Str\"OY.n6n
Streuners	Str\"OY.n6s
Streusel	Str\"OY.z@l
Streuseln	Str\"OY.z@ln
Streusels	Str\"OY.z@ls
Streuung	Str\"OY.UN
Streuungen	Str\"OY.U.N@n
Streß	Str\"Es
Striata	stri:.?\"a:.ta:
Striatum	stri:.?\"a:.tUm
Strich	Str\"IC
Strick	Str\"Ik
Stricke	Str\"I.k@
Stricken	Str\"I.k@n
Stricker	Str\"I.k6
Strickerei	StrI.k@.r\"aI
Strickereien	StrI.k@.r\"aI.@n
Strickerin	Str\"I.k@.rIn
Strickerinnen	Str\"I.k@.rI.n@n
Strickern	Str\"I.k6n
Strickers	Str\"I.k6s
Strickes	Str\"I.k@s
Stricks	Str\"Iks
Striegel	Str\"i:.g@l
Striegeln	Str\"i:.g@ln
Striegels	Str\"i:.g@ls
Strieme	Str\"i:.m@
Striemen	Str\"i:.m@n
Strike	str\"aIk
String	str\"IN
Stringenz	StrIN.g\"Ents
Strip	str\"Ip
Strippe	Str\"I.p@
Striptease	str\"Ip.ti:s
Stroh	Str\"o:
Strohe	Str\"o:.@
Strohes	Str\"o:.@s
Strohs	Str\"o:s
Strohwisch	Str\"o:.vIS
Strolch	Str\"OlC
Strolche	Str\"Ol.C@
Strolchen	Str\"Ol.C@n
Strolches	Str\"Ol.C@s
Strolchs	Str\"OlCs
Strom	Str\"o:m
Stroma	str\"o:.ma:
Stromabnehmer	Str\"o:m.?%ap.ne:.m6
Stromabsatz	Str\"o:m.?%ap.zats
Strome	Str\"o:.m@
Stromes	Str\"o:.m@s
Stroms	Str\"o:ms
Strontianit	strOn.tsja.n\"It
Strontium	str\"On.tsjUm
Strontiums	str\"On.tsjUms
Strophe	Str\"o:.f@
Strophen	Str\"o:.f@n
Stropp	Str\"Op
Stropps	Str\"Ops
Strosse	Str\"O.s@
Strossen	Str\"O.s@n
Stroux	Str\"Uks
Strubbelkopf	Str\"U.b@l.kOpf
Strubbelkopfe	Str\"U.b@l.kO.pf@
Strubbelkopfes	Str\"U.b@l.kO.pf@s
Strubbelkopfs	Str\"U.b@l.kOpfs
Strudel	Str\"u:.d@l
Strudeln	Str\"u:.d@ln
Strudels	Str\"u:.d@ls
Struktur	StrUk.t\"u:6
Strukturalismus	StrUk.tu:.ra.l\"Is.mUs
Strukturalist	StrUk.tu:.ra.l\"Ist
Strukturalisten	StrUk.tu:.ra.l\"Is.t@n
Strukturen	StrUk.t\"u:.r@n
Strukturiertheit	StrUk.tu:.r\"i:6t.haIt
Strukturierung	StrUk.tu:.r\"i:.rUN
Strukturierungen	StrUk.tu:.r\"i:.rU.N@n
Struma	str\"u:.ma:
Strumae	Str\"u:.ma.?%E
Strumaen	Str\"u:.ma.?%En
Strumen	Str\"u:.m@n
Strumpf	Str\"Umpf
Strumpfe	Str\"Um.pf@
Strumpfes	Str\"Um.pf@s
Strumpfhalter	Str\"Umpf.h%al.t6
Strumpfhaltern	Str\"Umpf.h%al.t6n
Strumpfhalters	Str\"Umpf.h%al.t6s
Strumpfs	Str\"Umpfs
Strunk	Str\"UNk
Struppigkeit	Str\"U.pIC.kaIt
Struwwelpeter	Str\"U.v@l.p%e:.t6
Struwwelpetern	Str\"U.v@l.p%e:.t6n
Struwwelpeters	Str\"U.v@l.p%e:.t6s
Strychnin	StrYC.n\"i:n
Strychnins	StrYC.n\"i:ns
Sträfling	Str\"E:.flIN
Strähne	Str\"E:.n@
Sträußchen	Str\"OYs.C@n
Sträßchen	Str\"E:s.C@n
Sträßlein	Str\"E:s.l%aIn
Strömen	Str\"2:.m@n
Strömling	Str\"2:m.lIN
Strömung	Str\"2:.mUN
Stuart	stj\"u:6t
Stube	St\"u:.b@
Stuben	St\"u:.b@n
Stubsnase	St\"Ups.n%a:.z@
Stubsnasen	St\"Ups.n%a:.z@n
Stuck	St\"Uk
Stucke	St\"U.k@
Stuckes	St\"U.k@s
Stucks	St\"Uks
Student	Stu:.d\"Ent
Studenten	Stu:.d\"En.t@n
Studentin	Stu:.d\"En.tIn
Studentinnen	Stu:.d\"En.tI.n@n
Studie	St\"u:.dj@
Studien	St\"u:.dj@n
Studierende	Stu:.d\"i:.r@n.d@
Studierenden	Stu:.d\"i:.r@n.d@n
Studierendes	Stu:.d\"i:.r@n.d@s
Studiererei	Stu:.di:.r@.r\"aI
Studierzimmer	St\"u:.di:6.ts%I.m6
Studierzimmern	St\"u:.di:6.ts%I.m6n
Studierzimmers	St\"u:.di:6.ts%I.m6s
Studio	St\"u:.djo:
Studios	St\"u:.djo:s
Studium	St\"u:.djUm
Studiums	St\"u:.djUms
Stufe	St\"u:.f@
Stufung	St\"u:.fUN
Stufungen	St\"u:.fU.N@n
Stuhl	St\"u:l
Stuhle	St\"u:.l@
Stuhles	St\"u:.l@s
Stuhls	St\"u:ls
Stuka	St\"u:.ka
Stukas	St\"u:.kas
Stukkateur	StU.ka.t\"2:6
Stukkateure	StU.ka.t\"2:.r@
Stukkateuren	StU.ka.t\"2:.r@n
Stukkateures	StU.ka.t\"2:.r@s
Stukkateurs	StU.ka.t\"2:6s
Stukkatur	StU.ka.t\"u:6
Stukkaturen	StU.ka.t\"u:.r@n
Stulle	St\"U.l@
Stullen	St\"U.l@n
Stulpe	St\"Ul.p@
Stulpen	St\"Ul.p@n
Stummel	St\"U.m@l
Stummeln	St\"U.m@ln
Stummels	St\"U.m@ls
Stumpen	St\"Um.p@n
Stumpf	St\"Umpf
Stumpfe	St\"Um.pf@
Stumpfes	St\"Um.pf@s
Stumpfheit	St\"Umpf.haIt
Stunde	St\"Un.d@
Stunden	St\"Un.d@n
Stundung	St\"Un.dUN
Stundungen	St\"Un.dU.N@n
Stunk	St\"UNk
Stunke	St\"UN.k@
Stunkes	St\"UN.k@s
Stunks	St\"UNks
Stuntman	st\"ant.m@n
Stupa	st\"u:.pa:
Stupidität	stu:.pi:.di:.t\"E:t
Stupra	st\"u:.pra:
Stuprum	st\"u:.prUm
Stups	St\"Ups
Stupse	St\"Up.z@
Stupsen	St\"Up.s@n
Stupser	St\"Up.s6
Stupses	St\"Up.z@s
Sturheit	St\"u:6.haIt
Sturm	St\"U6m
Sturz	St\"U6ts
Sturzacker	St\"U6ts.?%a.k6
Sturze	St\"U6.ts@
Sturzes	St\"U6.ts@s
Sturzwelle	St\"U6ts.Sv%E.l@
Stute	St\"u:.t@
Stuten	St\"u:.t@n
Stuterei	Stu:.t@.r\"aI
Stutereien	Stu:.t@.r\"aI.@n
Stuttgart	St\"Ut.ga6t
Stuttgarter	St\"Ut.ga6.t6
Stutz	St\"Uts
Stutzen	St\"U.ts@n
Stutzer	St\"U.ts6
Stutzern	St\"U.ts6n
Stutzers	St\"U.ts6s
Stuß	St\"Us
Style	st\"aIl
Styropor	Sty:.ro:.p\"o:6
Stäbchen	St\"E:p.C@n
Stäblein	St\"E:.blaIn
Städtchen	St\"Et.C@n
Städte	St\"E:.t@
Städtebau	St\"E:.t@.b%aU
Städter	St\"E:.t6
Städterin	St\"E.t@.rIn
Städteschnellverkehr	StE.t@.Sn\"El.fE6.k%e:6
Städtetag	St\"E.t@.t%a:k
Ställchen	St\"El.C@n
Stämmchen	St\"Em.C@n
Stämmigkeit	St\"E.mIC.kaIt
Stämmlein	St\"Em.laIn
Ständchen	St\"Ent.C@n
Stände	St\"En.d@
Ständer	St\"En.d6
Stängelchen	St\"E.N@l.C@n
Stänkerei	StEN.k@.r\"aI
Stär	St\"E:6
Stärke	St\"E6.k@
Stärkemehl	St\"E:6.k@.m%e:l
Stärkezucker	St\"E:6.k@.ts%U.k6
Stärkung	St\"E6.kUN
Stätte	St\"E.t@
Stäubchen	St\"OYp.C@n
Stöber	St\"2:.b6
Stöberei	St2:.b@.r\"aI
Stöckchen	St\"9k.C@n
Stöckel	St\"9.k@l
Stöffchen	St\"9f.C@n
Stöhnen	St\"2:.n@n
Stöpsel	St\"9p.s@l
Stör	St\"2:6
Störenfried	St\"2:.r@n.fr%i:t
Störerei	St2:.r@.r\"aI
Störtebeker	St\"96.t@.be:.k6
Störung	St\"2:.rUN
Störungen	St\"2:.rU.N@n
Stößchen	St\"2:s.C@n
Stöße	St\"2:.s@
Stößel	St\"2:.s@l
Stößer	St\"2:.s6
Stübchen	St\"y:p.C@n
Stück	St\"Yk
Stücke	St\"Y.k@
Stückelung	St\"Y.k@.lUN
Stümper	St\"Ym.p6
Stümperei	StYm.p@.r\"aI
Stündchen	St\"Ynt.C@n
Stündlein	St\"Ynt.laIn
Stürmerei	StY6.m@.r\"aI
Stürze	St\"Y6.ts@
Stütz	St\"Yts
Stütze	St\"Y.ts@
Stützung	St\"Y.tsUN
Suada	zh\"a:.da:
Suade	zh\"a:.d@
Suaden	zh\"a:.d@n
Suaheli	zHa.h\"e:.li:
Sub	z\"Up
Subjekt	z\"Up.jEkt
Subjekte	z\"Up.jEk.t@
Subjekten	z\"Up.jEk.t@n
Subjektes	z\"Up.jEk.t@s
Subjektion	zUp.jEk.tsj\"o:n
Subjektionen	zUp.jEk.tsj\"o:.n@n
Subjektivismus	zUp.jEk.ti:.v\"Is.mUs
Subjektivität	zUp.jEk.ti:.vi:.t\"E:t
Subjekts	z\"Up.jEkts
Subjektsatz	zUp.j\"Ekt.z%ats
Subjektsatze	zUp.j\"Ekt.z%a.ts@
Subjektsatzes	zUp.j\"Ekt.z%a.ts@s
Subjunktiv	z\"Up.jUNk.t%i:f
Subjunktive	z\"Up.jUNk.t%i:.v@
Subjunktiven	z\"Up.jUNk.t%i:.v@n
Subjunktives	z\"Up.jUNk.t%i:.v@s
Subjunktivs	z\"Up.jUNk.t%i:fs
Subkultur	z\"Up.kUl.t%u:6
Subkulturen	z\"Up.kUl.t%u:.r@n
Sublimat	zu:.bli:.m\"a:t
Sublimate	zu:.bli:.m\"a:.t@
Sublimaten	zu:.bli:.m\"a:.t@n
Sublimation	zu:.bli:.ma.tsj\"o:n
Sublimationen	zu:.bli:.ma.tsj\"o:.n@n
Sublimats	zu:.bli:.m\"a:ts
Sublimierung	zU.pli:.m\"i:.rUN
Sublimierungen	zu:.bli:.m\"i:.rU.N@n
Sublimität	zu:.bli:.mi:.t\"E:t
Submission	zUp.mI.sj\"o:n
Submissionen	zUp.mI.sj\"o:.n@n
Subordination	zUp.?O6.di:.na.tsj\"o:n
Subordinationen	zUp.?O6.di:.na.tsj\"o:.n@n
Subsidien	zUp.z\"i:.dj@n
Subsidium	zUp.z\"i:.djUm
Subsistenz	zUp.zIs.t\"Ents
Subsistenzen	zUp.zIs.t\"En.ts@n
Subskribent	zUps.kri:.b\"Ent
Subskribenten	zUps.kri:.b\"En.t@n
Subskription	zUps.krIp.tsj\"o:n
Subskriptionen	zUps.krIp.tsj\"o:.n@n
Substantialität	zUps.tan.tsja.li:.t\"E:t
Substantiv	zUps.tan.t\"i:f
Substantiva	zUps.tan.t\"i:.va:
Substantive	zUps.tan.t\"i:.v@
Substantiven	zUps.tan.t\"i:.v@n
Substantivierung	zUps.tan.ti:.v\"i:.rUN
Substantivierungen	zUps.tan.ti:.v\"i:.rU.N@n
Substantivum	z\"Ups.tan.t%i:.vUm
Substanz	zUp.st\"ants
Substanzen	zUp.st\"an.ts@n
Substituent	zUps.ti:.tu:.?\"Ent
Substitut	zUps.ti:.t\"u:t
Substituten	zUps.ti:.t\"u:.t@n
Substitution	zUps.ti:.tu:.tsj\"o:n
Substitutionen	zUps.ti:.tu:.tsj\"o:.n@n
Substrat	zUp.str\"a:t
Substruktion	zUps.trUk.tsj\"o:n
Subsumierung	zUp.zu:.m\"i:.rUN
Subsumtion	zUp.zUm.tsj\"o:n
Subtilität	zUp.ti:.li:.t\"E:t
Subtrahend	zUp.tra.h\"Ent
Subtraktion	zUp.trak.tsj\"o:n
Subvention	zUp.vEn.tsj\"o:n
Subventionen	zUp.vEn.tsj\"o:.n@n
Subversion	zUp.vE6.zj\"o:n
Subversionen	zUp.vE6.zj\"o:.n@n
Such	z\"u:x
Suchaktion	z\"u:x.?a.ktsj%o:n
Suchaktionen	z\"u:x.?a.ktsj%o:.n@n
Suchdienst	z\"u:x.d%i:nst
Suchdienste	z\"u:x.d%i:ns.t@
Suchdiensten	z\"u:x.d%i:ns.t@n
Suchdienstes	z\"u:x.d%i:ns.t@s
Suchdiensts	z\"u:x.d%i:nsts
Suche	z\"u:.x@
Suchen	z\"u:.x@n
Sucher	z\"u:.x6
Suchern	z\"u:.x6n
Suchers	z\"u:.x6s
Suchgerät	z\"u:x.g@.r%E:t
Sucht	z\"Uxt
Sud	z\"u:t
Sudan	zu:.d\"a:n
Sudaner	zu:.d\"a:.n6
Sudanern	z\"u:.da:.n6n
Sudaners	zu:.d\"a:.n6s
Sudanese	zu:.da.n\"e:.z@
Sudanesen	z\"u:.da.n%e:.s@n
Sudans	zu:.d\"a:ns
Sudatorien	zu:.da.t\"o:.ri:.@n
Sudatorium	zu:.da.t\"o:.ri:.Um
Sude	z\"u:.d@
Sudelei	zu:.d@.l\"aI
Sudeten	zu:.d\"e:.t@n
Sudetenland	zu:.d\"e:.t@n.l%ant
Sudetenlande	zu:.d\"e:.t@n.l%an.d@
Sudetenlanden	zu:.d\"e:.t@n.l%an.d@n
Sudetenlands	zu:.d\"e:.t@n.l%ants
Sudhoff	z\"u:t.hOf
Suebe	s\"u:.e:.b@
Sueben	s\"u:.e:.b@n
Suff	z\"Uf
Suffe	z\"U.f@
Suffes	z\"U.f@s
Suffix	zU.f\"Iks
Suffixe	zU.f\"Ik.s@
Suffixen	zU.f\"Ik.s@n
Suffixes	zU.f\"Ik.s@s
Suffizienz	zU.fi:.tsj\"Ents
Suffragette	zU.fra.g\"E.t@
Suffragetten	zU.fra.g\"E.t@n
Suffragien	zu:.fr\"a:.gj@n
Suffragium	zu:.fr\"a:.gjUm
Suffs	z\"Ufs
Sufismus	zu:.f\"Is.mUs
Sufist	zu:.f\"Ist
Sufisten	zu:.f\"Is.t@n
Sugambrer	zu:.g\"am.br6
Suggestibilität	zU.gEs.ti:.bi:.li:.t\"E:t
Suggestion	zU.gEs.tj\"o:n
Suggestionen	zU.gEs.tj\"o:.n@n
Suhle	z\"u:.l@
Suisse	sh\"i:s
Suite	s\"u:.i:.t@
Suiten	s\"u:.i:.t@n
Suitier	su:.i:.tj\"e:
Suitner	s\"u:.i:t.n6
Suizid	zu:.i:.ts\"i:t
Sujet	sy:.Z\"e:
Sujets	sy:.Z\"e:s
Sukkade	zU.k\"a:.d@
Sukkaden	zU.k\"a:.d@n
Sukkuben	zU.k\"u:.b@n
Sukkubus	z\"U.ku:.bUs
Sukkulenz	zU.ku:.l\"Ents
Sukkur	s\"U.kU6
Sukkurs	zU.k\"U6s
Suktion	zUk.tsj\"o:n
Sukzession	zUk.tsE.sj\"o:n
Sukzessionen	zUk.tsE.sj\"o:.n@n
Sukzeß	zUk.ts\"Es
Sulfat	zUl.f\"a:t
Sulfate	zUl.f\"a:.t@
Sulfaten	zUl.f\"a:.t@n
Sulfates	zUl.f\"a:.t@s
Sulfats	zUl.f\"a:ts
Sulfid	zUl.f\"i:t
Sulfide	zUl.f\"i:.d@
Sulfiden	zUl.f\"i:.d@n
Sulfides	zUl.f\"i:.d@s
Sulfids	zUl.f\"i:ts
Sulfit	zUl.f\"It
Sulfonamid	zUl.fo:.na.m\"i:t
Sulfonat	zUl.fo:.n\"a:t
Sulfur	z\"Ul.fU6
Sulky	s\"al.ki:
Sultan	z\"Ul.ta:n
Sultanat	zUl.ta.n\"a:t
Sultanate	zUl.ta.n\"a:.t@
Sultanaten	zUl.ta.n\"a:.t@n
Sultanates	zUl.ta.n\"a:.t@s
Sultanats	zUl.ta.n\"a:ts
Sultane	z\"Ul.ta:.n@
Sultanen	z\"Ul.ta:.n@n
Sultanes	z\"Ul.ta:.n@s
Sultanin	z\"Ul.ta.nIn
Sultanine	zUl.ta.n\"i:.n@
Sultaninnen	z\"Ul.ta:.nI.n@n
Sultans	z\"Ul.ta:ns
Sulu	s\"u:.lu:
Sumerer	zu:.m\"e:.r6
Sumerern	z\"u:.mE.r6n
Sumerers	zu:.m\"e:.r6s
Summand	zU.m\"ant
Summation	zU.ma.tsj\"o:n
Summationen	zU.ma.tsj\"o:.n@n
Summe	z\"U.m@
Summen	z\"U.m@n
Summer	z\"U.m6
Summern	z\"U.m6n
Summers	z\"U.m6s
Summierung	zU.m\"i:.rUN
Summierungen	zU.m\"i:.rU.N@n
Summist	zU.m\"Ist
Summton	z\"Um.t%o:n
Summtone	z\"Um.t%o:.n@
Summtones	z\"Um.t%o:.n@s
Summtons	z\"Um.t%o:ns
Sumpf	z\"Umpf
Sumpfe	z\"Um.pf@
Sumpfes	z\"Um.pf@s
Sumpfs	z\"Umpfs
Sumpfzypresse	z\"Umpf.tsY.pr%E.s@
Sumpfzypressen	z\"Umpf.tsY.pr%E.s@n
Sums	z\"Ums
Sund	z\"Unt
Sundanese	zUn.da.n\"e:.z@
Sundanesen	zUn.da.n\"e:.z@n
Sunday	s\"an.dEI
Sunde	z\"Un.dE
Sunden	z\"Un.d@n
Sundes	z\"Un.d@s
Sunds	z\"Unts
Sunnit	zU.n\"i:t
Sunniten	zU.n\"i:.t@n
Suomi	zh\"o:.mi:
Super	z\"u:.p6
Superhet	z\"u:.p6.hEt
Superintendent	zu:.p6.?In.tEn.d\"Ent
Superintendente	zu:.p6.?In.tEn.d\"En.t@
Superintendenten	zu:.p6.?In.tEn.d\"En.t@n
Superintendentes	zu:.p6.?In.tEn.d\"En.t@s
Superintendents	zu:.p6.?In.tEn.d\"Ents
Superintendentur	zu:.p6.?In.tEn.dEn.t\"u:6
Superintendenturen	zu:.p6.?In.tEn.dEn.t\"u:.r@n
Superior	zu:.p\"e:.ri:.o:6
Superioren	zu:.pe:.r\"jo:.r@n
Superiorität	zu:.pe:6.jo:.ri:.t\"E:t
Superiors	zu:.p\"e:.ri:.o:6s
Superlativ	zu:.p6.la.t\"i:f
Superlative	zu:.p6.la.t\"i:.v@
Superlativen	zu:.p6.la.t\"i:.v@n
Superlatives	zu:.p6.la.t\"i:.v@s
Superlativs	zu:.p6.la.t\"i:fs
Supermann	z\"u:.p6.m%an
Supermanne	z\"u:.p6.m%a.n@
Supermannes	z\"u:.p6.m%a.n@s
Supermanns	z\"u:.p6.m%ans
Supern	z\"u:.p6n
Supernova	z\"u:.p6.n%o:.va
Supernovae	z\"u:.p6.n%o:.va.@
Supers	z\"u:.p6s
Suppe	z\"U.p@
Suppen	z\"U.p@n
Supplement	zU.ple:.m\"Ent
Supplemente	zU.ple:.m\"En.t@
Supplementen	zU.ple:.m\"En.t@n
Supplementes	zU.ple:.m\"En.t@s
Supplements	zU.ple:.m\"Ents
Support	s@.p\"O6t
Supporte	s@.p\"O6.t@
Supporten	s@.p\"O6.t@n
Supportes	s@.p\"O6.t@s
Supports	s@.p\"O6ts
Supposition	zU.po:.zi:.tsj\"o:n
Suppositionen	zU.po:.zi:.tsj\"o:.n@n
Suppression	zU.prE.sj\"o:n
Suppressionen	zU.prE.sj\"o:.n@n
Suppé	zU.p\"e:
Supranaturalismus	zu:.pra.na.tu:.ra.l\"Is.mUs
Suprematie	zu:.pre:.ma.t\"i:
Suprematien	zu:.pre:.ma.t\"i:.@n
Surf	s\"9:f
Surfbrett	s\"96f.brEtS
Surfen	s\"9:.f@n
Surfer	s\"9:.f6
Surfing	s\"9:.fIN
Surgut	sU6.g\"u:t
Surikate	zu:.ri:.k\"a:.t@
Surikaten	zu:.ri:.k\"a:.t@n
Surinam	zu:.ri:.n\"am
Surkkala	s\"U6.ka.la:
Surprise	sy:6.pr\"i:.z@
Surprisen	sy:6.pr\"i:.z@n
Surrealismus	zU6.re:.a.l\"Is.mUs
Surrealist	zU.re:.a.l\"Ist
Surrealisten	zU6.re:.a.l\"Is.t@n
Surrogat	zU.ro:.g\"a:t
Surrogate	zU.ro:.g\"a:.t@
Surrogaten	zU.ro:.g\"a:.t@n
Surrogates	zU.ro:.g\"a:.t@s
Surrogation	zU.ro:.ga.tsj\"o:n
Surrogats	zU.ro:.g\"a:ts
Surround	s@.r\"aUnt
Surtaxe	sY6.t\"ak.s@
Surtaxen	sY6.t\"ak.s@n
Surveyor	s9:.v\"EI.6
Susan	z\"u:.zan
Susann	zu:.z\"an
Susanna	zu:.z\"a.na:
Susanne	zu:.z\"a.n@
Sushi	z\"U.Si:
Suspension	zUs.pEn.zj\"o:n
Suspensionen	zUs.pEn.zj\"o:.n@n
Suspensorien	zUs.pEn.z\"o:.ri:.@n
Suspensorium	zUs.pEn.z\"o:.ri:.Um
Suspensoriums	zUs.pEn.z\"o:.ri:.Ums
Suszeptanz	zUs.tsEp.t\"ants
Suszeptibilität	zUs.tsEp.ti:.bi:.li:.t\"E:t
Suszeption	zUs.tsEp.tsj\"o:n
Suszeptionen	zUs.tsEp.tsj\"o:.n@n
Sutane	zu:.t\"a:.n@
Sutanen	zu:.t\"a:.n@n
Suttner	z\"Ut.n6
Sutur	zu:.t\"u:6
Suturen	z\"u:.tu:.r%@n
Suys	s\"u:.Is
Suzeränität	zu:.tse:.rE.ni:.t\"E:t
Suzuki	su:.z\"u:.ki:
Sven	sv\"En
Swahili	sva.h\"i:.li:
